Java HotSpot(TM) 64-Bit Server VM (25.40-b25) for linux-amd64 JRE (1.8.0_40-b26), built on Mar  7 2015 15:08:31 by "java_re" with gcc 4.3.0 20080428 (Red Hat 4.3.0-8)
Memory: 4k page, physical 264398780k(140714128k free), swap 4194296k(4194296k free)
CommandLine flags: -XX:+AggressiveOpts -XX:+AlwaysPreTouch -XX:InitialHeapSize=27917287424 -XX:LargePageSizeInBytes=2097152 -XX:MaxHeapSize=27917287424 -XX:MaxNewSize=24696061952 -XX:MaxTenuringThreshold=15 -XX:NewSize=24696061952 -XX:ParallelGCThreads=36 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:SurvivorRatio=14 -XX:TargetSurvivorRatio=95 -XX:-UseAdaptiveSizePolicy -XX:-UseBiasedLocking -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseLargePages -XX:+UseParallelOldGC 
10.153: [GC (Allocation Failure) [PSYoungGen: 21102592K->3969K(22609920K)] 21102592K->4056K(25755648K), 0.0053756 secs] [Times: user=0.03 sys=0.01, real=0.00 secs] 
10.164: [GC (Allocation Failure) [PSYoungGen: 21106561K->2480K(22609920K)] 21106648K->2574K(25755648K), 0.0086430 secs] [Times: user=0.24 sys=0.00, real=0.01 secs] 
13.431: [GC (Allocation Failure) [PSYoungGen: 21105072K->722488K(22609920K)] 21105166K->722607K(25755648K), 0.1113954 secs] [Times: user=3.56 sys=0.00, real=0.11 secs] 
14.795: [GC (System.gc()) [PSYoungGen: 2135221K->8199K(22609920K)] 2135340K->8325K(25755648K), 0.0113363 secs] [Times: user=0.14 sys=0.00, real=0.01 secs] 
14.807: [Full GC (System.gc()) [PSYoungGen: 8199K->0K(22609920K)] [ParOldGen: 126K->7556K(3145728K)] 8325K->7556K(25755648K), [Metaspace: 16833K->16833K(1064960K)], 0.0515569 secs] [Times: user=0.61 sys=0.05, real=0.05 secs] 
100.904: [GC (System.gc()) [PSYoungGen: 6013301K->98512K(22609920K)] 6020857K->106084K(25755648K), 0.0236388 secs] [Times: user=0.59 sys=0.00, real=0.02 secs] 
100.928: [Full GC (System.gc()) [PSYoungGen: 98512K->0K(22609920K)] [ParOldGen: 7572K->104980K(3145728K)] 106084K->104980K(25755648K), [Metaspace: 20032K->20028K(1067008K)], 0.0939510 secs] [Times: user=2.15 sys=0.02, real=0.09 secs] 
228.227: [GC (Allocation Failure) [PSYoungGen: 21102592K->884412K(22609920K)] 21207572K->989401K(25755648K), 0.1480513 secs] [Times: user=5.08 sys=0.00, real=0.15 secs] 
248.782: [GC (Allocation Failure) [PSYoungGen: 21987004K->894574K(22609920K)] 22091993K->999570K(25755648K), 0.1368472 secs] [Times: user=4.78 sys=0.00, real=0.14 secs] 
260.110: [GC (Allocation Failure) [PSYoungGen: 21997166K->909597K(22609920K)] 22102162K->1014601K(25755648K), 0.1380391 secs] [Times: user=4.82 sys=0.00, real=0.14 secs] 
267.919: [GC (Allocation Failure) [PSYoungGen: 22012189K->927958K(22609920K)] 22117193K->1032970K(25755648K), 0.1391025 secs] [Times: user=4.88 sys=0.00, real=0.14 secs] 
274.124: [GC (Allocation Failure) [PSYoungGen: 22030550K->916199K(22609920K)] 22135562K->1021220K(25755648K), 0.1404890 secs] [Times: user=4.93 sys=0.00, real=0.14 secs] 
278.956: [GC (Allocation Failure) [PSYoungGen: 22018791K->976061K(22609920K)] 22123812K->1081090K(25755648K), 0.1464599 secs] [Times: user=5.16 sys=0.00, real=0.15 secs] 
283.065: [GC (Allocation Failure) [PSYoungGen: 22078653K->955217K(22609920K)] 22183682K->1060254K(25755648K), 0.1442924 secs] [Times: user=5.07 sys=0.00, real=0.14 secs] 
287.020: [GC (Allocation Failure) [PSYoungGen: 22057809K->978021K(22609920K)] 22162846K->1083057K(25755648K), 0.1489455 secs] [Times: user=5.17 sys=0.00, real=0.15 secs] 
290.575: [GC (Allocation Failure) [PSYoungGen: 22080613K->985572K(22609920K)] 22185649K->1090608K(25755648K), 0.1483036 secs] [Times: user=5.23 sys=0.00, real=0.15 secs] 
293.728: [GC (Allocation Failure) [PSYoungGen: 22088164K->1099987K(22609920K)] 22193200K->1205023K(25755648K), 0.1700651 secs] [Times: user=5.86 sys=0.00, real=0.17 secs] 
296.911: [GC (Allocation Failure) [PSYoungGen: 22202579K->1102344K(22609920K)] 22307615K->1207381K(25755648K), 0.1681124 secs] [Times: user=5.91 sys=0.00, real=0.17 secs] 
300.013: [GC (Allocation Failure) [PSYoungGen: 22204936K->1180487K(22609920K)] 22309973K->1285524K(25755648K), 0.1800416 secs] [Times: user=6.38 sys=0.01, real=0.18 secs] 
303.163: [GC (Allocation Failure) [PSYoungGen: 22283079K->1088394K(22609920K)] 22388116K->1193438K(25755648K), 0.1657680 secs] [Times: user=5.77 sys=0.00, real=0.17 secs] 
306.298: [GC (Allocation Failure) [PSYoungGen: 22190986K->1095095K(22609920K)] 22296030K->1200139K(25755648K), 0.1674555 secs] [Times: user=5.85 sys=0.00, real=0.17 secs] 
309.459: [GC (Allocation Failure) [PSYoungGen: 22197687K->1113623K(22609920K)] 22302731K->1218667K(25755648K), 0.1701611 secs] [Times: user=5.93 sys=0.00, real=0.17 secs] 
312.575: [GC (Allocation Failure) [PSYoungGen: 22216215K->954950K(22609920K)] 22321259K->1389429K(25755648K), 0.2107158 secs] [Times: user=7.48 sys=0.01, real=0.22 secs] 
315.707: [GC (Allocation Failure) [PSYoungGen: 22057542K->686457K(22609920K)] 22492021K->1131081K(25755648K), 0.1228492 secs] [Times: user=4.22 sys=0.00, real=0.12 secs] 
318.733: [GC (Allocation Failure) [PSYoungGen: 21789049K->699343K(22609920K)] 22233673K->1149866K(25755648K), 0.1270460 secs] [Times: user=4.45 sys=0.00, real=0.13 secs] 
321.726: [GC (Allocation Failure) [PSYoungGen: 21801935K->650741K(22609920K)] 22252458K->1102584K(25755648K), 0.1156750 secs] [Times: user=4.06 sys=0.01, real=0.12 secs] 
324.717: [GC (Allocation Failure) [PSYoungGen: 21753333K->645322K(22609920K)] 22205176K->1100829K(25755648K), 0.1150009 secs] [Times: user=4.05 sys=0.01, real=0.12 secs] 
327.776: [GC (Allocation Failure) [PSYoungGen: 21747914K->720697K(22609920K)] 22203421K->1177605K(25755648K), 0.1267522 secs] [Times: user=4.48 sys=0.01, real=0.13 secs] 
329.959: [GC (System.gc()) [PSYoungGen: 13287836K->638204K(22609920K)] 13744743K->1096847K(25755648K), 0.1215580 secs] [Times: user=4.03 sys=0.00, real=0.12 secs] 
330.081: [Full GC (System.gc()) [PSYoungGen: 638204K->0K(22609920K)] [ParOldGen: 458643K->126605K(3145728K)] 1096847K->126605K(25755648K), [Metaspace: 22255K->22247K(1069056K)], 0.1292835 secs] [Times: user=3.11 sys=0.03, real=0.13 secs] 
