Java HotSpot(TM) 64-Bit Server VM (25.40-b25) for linux-amd64 JRE (1.8.0_40-b26), built on Mar  7 2015 15:08:31 by "java_re" with gcc 4.3.0 20080428 (Red Hat 4.3.0-8)
Memory: 4k page, physical 264398780k(140714128k free), swap 4194296k(4194296k free)
CommandLine flags: -XX:InitialHeapSize=2147483648 -XX:MaxHeapSize=2147483648 -XX:MaxNewSize=1610612736 -XX:NewSize=1610612736 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseParallelGC 
0.292: [GC (Allocation Failure) [PSYoungGen: 1179648K->3841K(1376256K)] 1179648K->3849K(1900544K), 0.0067885 secs] [Times: user=0.09 sys=0.02, real=0.01 secs] 
0.310: [GC (Allocation Failure) [PSYoungGen: 1183489K->2288K(1376256K)] 1183497K->2304K(1900544K), 0.0051657 secs] [Times: user=0.07 sys=0.03, real=0.00 secs] 
12.684: [GC (Allocation Failure) [PSYoungGen: 1181936K->86560K(1376256K)] 1181952K->86600K(1900544K), 0.0723196 secs] [Times: user=0.85 sys=1.12, real=0.07 secs] 
14.095: [GC (System.gc()) [PSYoungGen: 109188K->83135K(1376256K)] 109228K->83183K(1900544K), 0.0800742 secs] [Times: user=0.67 sys=2.10, real=0.08 secs] 
14.176: [Full GC (System.gc()) [PSYoungGen: 83135K->0K(1376256K)] [ParOldGen: 48K->81715K(524288K)] 83183K->81715K(1900544K), [Metaspace: 16710K->16710K(1064960K)], 0.4028451 secs] [Times: user=8.66 sys=0.08, real=0.41 secs] 
100.259: [GC (System.gc()) [PSYoungGen: 344248K->8585K(1376256K)] 425964K->90381K(1900544K), 0.0147115 secs] [Times: user=0.23 sys=0.00, real=0.02 secs] 
100.274: [Full GC (System.gc()) [PSYoungGen: 8585K->0K(1376256K)] [ParOldGen: 81795K->88946K(524288K)] 90381K->88946K(1900544K), [Metaspace: 20168K->20168K(1067008K)], 0.4097234 secs] [Times: user=12.88 sys=0.02, real=0.41 secs] 
211.917: [GC (Allocation Failure) [PSYoungGen: 1179648K->6065K(1376256K)] 1268594K->95019K(1900544K), 0.0127139 secs] [Times: user=0.17 sys=0.00, real=0.01 secs] 
231.289: [GC (Allocation Failure) [PSYoungGen: 1185713K->8280K(1376256K)] 1274667K->97243K(1900544K), 0.0097355 secs] [Times: user=0.21 sys=0.00, real=0.01 secs] 
242.036: [GC (Allocation Failure) [PSYoungGen: 1187928K->9785K(1476608K)] 1276891K->98755K(2000896K), 0.0105440 secs] [Times: user=0.10 sys=0.16, real=0.01 secs] 
251.005: [GC (Allocation Failure) [PSYoungGen: 1385017K->9721K(1471488K)] 1473987K->98699K(1995776K), 0.0092985 secs] [Times: user=0.18 sys=0.00, real=0.01 secs] 
259.667: [GC (Allocation Failure) [PSYoungGen: 1384953K->7304K(1484800K)] 1473931K->98140K(2009088K), 0.0196571 secs] [Times: user=0.05 sys=0.01, real=0.02 secs] 
268.385: [GC (Allocation Failure) [PSYoungGen: 1400456K->7464K(1481216K)] 1491292K->99085K(2005504K), 0.0082484 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
276.901: [GC (Allocation Failure) [PSYoungGen: 1400616K->6920K(1492480K)] 1492237K->98725K(2016768K), 0.0182788 secs] [Times: user=0.19 sys=0.02, real=0.02 secs] 
285.423: [GC (Allocation Failure) [PSYoungGen: 1415432K->6324K(1488896K)] 1507237K->98925K(2013184K), 0.0357130 secs] [Times: user=0.30 sys=0.00, real=0.03 secs] 
