
===================================
Domain Marker;critical-jOPS;18129.0
Domain Marker;max-jOPS;81875.0
jOPS;min;median;90-th percentile;95-th percentile;99-th percentile;max
0.0;NaN;NaN;NaN;NaN;NaN;NaN
986.0;1000.0;1800.0;2100.0;2300.0;3200.0;19900.0
1973.0;700.0;2000.0;2400.0;2700.0;3600.0;175000.0
2959.0;800.0;2200.0;2900.0;3200.0;4000.0;170000.0
3946.0;700.0;2400.0;3300.0;3600.0;5400.0;160000.0
4932.0;600.0;2600.0;3700.0;4100.0;6700.0;174000.0
5919.0;700.0;2800.0;4100.0;4600.0;8900.0;166000.0
6905.0;600.0;2900.0;4500.0;5100.0;10200.0;179000.0
7892.0;600.0;3100.0;4900.0;5600.0;9800.0;136000.0
8878.0;600.0;3200.0;5300.0;6100.0;13300.0;139000.0
9864.0;600.0;3400.0;5700.0;6600.0;13100.0;189000.0
10851.0;600.0;3500.0;6100.0;7000.0;13400.0;142000.0
11837.0;600.0;3700.0;6500.0;7600.0;17000.0;139000.0
12824.0;600.0;3900.0;6800.0;7900.0;17400.0;136000.0
13810.0;600.0;3900.0;6900.0;8100.0;19100.0;139000.0
14797.0;600.0;3900.0;7000.0;8100.0;19300.0;143000.0
15783.0;600.0;4000.0;7000.0;8200.0;26000.0;155000.0
16770.0;700.0;4000.0;7100.0;8400.0;30000.0;146000.0
17756.0;600.0;4000.0;7300.0;8800.0;46000.0;155000.0
18743.0;600.0;4000.0;7200.0;8800.0;37000.0;171000.0
19729.0;600.0;4000.0;7400.0;8900.0;54000.0;157000.0
20715.0;600.0;4000.0;7500.0;9100.0;50000.0;150000.0
21702.0;600.0;4000.0;7600.0;9200.0;54000.0;160000.0
22688.0;600.0;4100.0;7500.0;9300.0;65000.0;171000.0
23675.0;600.0;4100.0;7700.0;9400.0;65000.0;162000.0
24661.0;600.0;4100.0;7700.0;9500.0;75000.0;161000.0
25648.0;600.0;4100.0;7900.0;9900.0;78000.0;218000.0
26634.0;600.0;4100.0;8000.0;9900.0;80000.0;171000.0
27621.0;600.0;4100.0;7900.0;10000.0;81000.0;167000.0
28607.0;600.0;4000.0;8100.0;10000.0;81000.0;162000.0
29593.0;700.0;4100.0;8200.0;10300.0;84000.0;168000.0
30580.0;600.0;4100.0;8300.0;10600.0;96000.0;174000.0
31566.0;600.0;4100.0;8300.0;10600.0;91000.0;192000.0
32553.0;700.0;4100.0;8500.0;10900.0;95000.0;180000.0
33539.0;600.0;4000.0;8300.0;10800.0;95000.0;175000.0
34526.0;600.0;4100.0;8700.0;11500.0;102000.0;191000.0
35512.0;600.0;4100.0;8900.0;12500.0;107000.0;183000.0
36499.0;600.0;4100.0;9000.0;12600.0;111000.0;203000.0
37485.0;600.0;4000.0;9100.0;13100.0;113000.0;187000.0
38472.0;700.0;4000.0;9000.0;12500.0;110000.0;188000.0
39458.0;700.0;4000.0;9300.0;13600.0;117000.0;195000.0
40444.0;700.0;4000.0;9500.0;16100.0;116000.0;191000.0
