Probes jOPS / Total jOPS
===================================
Domain Marker;critical-jOPS;18129.0
Domain Marker;max-jOPS;81875.0
Domain Marker;Last Success for SLAs;33539.0
Range Marker;Soft Limit;5.0
Range Marker;Hard Limit;3.0
jOPS;Percent of probes jOPS
0;NaN
986;95.14192490488007
1973;96.58631050734331
2959;97.30472185292166
3946;97.78411485967743
4932;97.70008187018016
5919;97.93351773971047
6905;98.27945230575327
7892;98.25314289032272
8878;98.39516285550096
9864;98.31048596211282
10851;98.46096773356058
11837;98.47201411903583
12824;98.52480663195105
13810;91.941891874916
14797;86.38167718398402
15783;80.39888866042374
16770;75.7153697429405
17756;71.6925171108849
18743;67.87620468546407
19729;64.52389376464929
20715;61.31493392033721
21702;58.5176153330243
22688;56.15791014609679
23675;53.8669338300529
24661;51.55714986073243
25648;49.75326443021626
26634;47.92581204619116
27621;46.05863186107195
28607;44.5618295655597
29593;43.29475194942475
30580;41.64523587686661
31566;40.57523282115079
32553;38.98128918637277
33539;37.85379538185454
34526;36.83345303911665
35512;35.966989199390675
36499;34.66435793378277
37485;33.9798326862192
38472;33.13720200980332
39458;32.20843341498819
40444;31.34332811995388
41431;30.793993858681734
42417;29.909237334775973
43404;29.52685177856137
44390;28.664714316078133
45377;27.937058409897656
46363;27.583602301787376
47350;26.945085361803866
48336;26.182183255860593
49322;25.761160322203686
50309;25.290967391349387
51295;24.793639771622793
52282;24.189440472608762
53268;23.84012976472894
54255;23.40698884752753
55241;22.98411214197214
56228;22.567499487177784
57214;22.061315975576413
58201;21.753660993840445
59187;21.57559043926826
60173;20.798807685170885
61160;20.810268288127475
62146;20.47165826372968
63133;20.09902362060752
64119;19.49894387236066
65106;19.371261600416528
66092;18.961290335327355
67079;18.65562740220513
68065;18.22918334842879
69051;17.596643410217286
70038;17.65816441667506
71024;17.114088192971046
72011;16.564886131800616
72997;16.266058602334443
73984;14.962606458137397
74970;14.125744797828789
75957;12.652024882628586
76943;11.69921811758492
77930;7.728551965190364
78916;6.7474246084960505
79902;3.305928244359223
80889;1.116756323542304
81875;0.41705872871960664
82862;0.04017326793427402
83848;0.029680561492221005
84835;0.02620184706373255
85821;0.019393982933506342
