Delay between performance status pings above threshold
===================================
Domain Marker;Start RT curve;938192.0
Domain Marker;max-jOPS;6898807.0
Range Marker;Limit;5000.0
Range Marker;Hard Limit;60000.0
Time, msec;Group2.Backend.JVM2;Group1.TxInjector.JVM1;Group2.TxInjector.JVM1;Group1.Backend.JVM2
4393.0;1045.060945000001;;;1044.8233990000008
4396.0;;1014.441010999999;1014.05789;
89885.0;5521.039990000005;;;5521.151754999999
89886.0;;5508.351012999992;5508.872724999994;
318929.0;5058.089773000043;;;5058.187340000004
426270.0;8239.249453999975;;;8239.285445999994
426271.0;;8226.651435000007;8226.535784000007;
639330.0;5549.797387000057;;;5550.6014689999865
639331.0;;5428.841927000089;5450.887374999933;
722835.0;5320.682988000102;5223.975865000044;5209.805420999997;5320.677477000048
7246414.0;5725.066162999719;;;5725.105169000104
7246415.0;;5623.867217000574;5586.13165100012;
7426418.0;8661.605798999779;8650.22531399969;8649.92554099951;8661.549592000432
7472191.0;1006.4509760001674;;;1006.4488420002162
7472202.0;;7.2046579997986555;7.008578999899328;
