Type, StartTime, SurvivorSize, UsedMemYGandOG, ResMemOGandSurvior, len
Young, 6700.514,846436,22807761,1802554,0.1546101
Young, 6703.646,725558,22905146,1682060,0.1350495
Young, 6706.774,705189,22784652,1662067,0.1299965
Young, 6709.924,696671,22764659,1653917,0.1290673
Young, 6713.061,733165,22756509,1690787,0.1352018
Young, 6716.263,755992,22793379,1713974,0.1382588
Young, 6719.391,743416,22816566,1701767,0.1363667
Young, 6722.539,752397,22804359,1711115,0.1378985
Young, 6725.602,714980,22813707,1674067,0.1339331
Young, 6728.670,732470,22776659,1691941,0.1348890
Young, 6731.825,771983,22794533,1731814,0.1423673
Young, 6734.959,794437,22834406,1754643,0.1469019
Young, 6738.119,728002,22857235,1688576,0.1349872
Young, 6741.192,721840,22791168,1682782,0.1326218
Young, 6744.300,746543,22785374,1707853,0.1370776
Young, 6747.435,789420,22810445,1751090,0.1447714
Young, 6750.538,766362,22853682,1728433,0.1407196
Young, 6753.625,784794,22831025,1747232,0.1434203
Young, 6756.707,712974,22849824,1675773,0.1320324
Young, 6759.821,800911,22778365,1764078,0.1472121
Young, 6762.889,741747,22866670,1705281,0.1375522
Young, 6765.965,726851,22807873,1690746,0.1371234
Young, 6769.122,703743,22793338,1668005,0.1317836
Young, 6772.278,717425,22770597,1682047,0.1326415
Young, 6775.442,770777,22784639,1735768,0.1405612
Young, 6778.545,758675,22838360,1724066,0.1392213
Young, 6781.571,782756,22826658,1748514,0.1442908
Young, 6784.703,734066,22851106,1700192,0.1356304
Young, 6787.799,792295,22802784,1758781,0.1477539
Young, 6790.947,734006,22861373,1700869,0.1371287
Young, 6794.013,762668,22803461,1729890,0.1412808
Young, 6797.136,756692,22832482,1724274,0.1401509
Young, 6800.213,739317,22826866,1707252,0.1383599
Young, 6803.280,761258,22809844,1729576,0.1403192
Young, 6806.409,734524,22832168,1703226,0.1372296
Young, 6809.540,766373,22805818,1735444,0.1410797
Young, 6812.655,779975,22838036,1749422,0.1439075
Young, 6815.794,754130,22852014,1723945,0.1387621
Young, 6818.851,709023,22826537,1679206,0.1322188
Young, 6821.956,723827,22781798,1694370,0.1372882
Young, 6825.017,700193,22796962,1671119,0.1310223
Young, 6828.127,789557,22773711,1760843,0.1460218
Young, 6831.303,777010,22863435,1748689,0.1426370
Young, 6834.395,784466,22851281,1756512,0.1440902
Young, 6837.429,704579,22859104,1676986,0.1324292
Young, 6840.486,749402,22779578,1722176,0.1376178
Young, 6843.606,798680,22824768,1771831,0.1464246
Young, 6846.715,728927,22874423,1702453,0.1349765
Young, 6849.790,738588,22805045,1712483,0.1364402
Young, 6852.885,815667,22815075,1789938,0.1479575
Young, 6855.976,739422,22892530,1714060,0.1375985
Young, 6859.125,750624,22816652,1725638,0.1370266
Young, 6862.151,773278,22828230,1748668,0.1429558
Young, 6865.260,796417,22851260,1772200,0.1449558
Young, 6868.370,780921,22874792,1757072,0.1416576
Young, 6871.482,738956,22859664,1715475,0.1367170
Young, 6874.574,769915,22818067,1746770,0.1403773
Young, 6877.636,829606,22849362,1806869,0.1518466
Young, 6880.790,721314,22909461,1698921,0.1333875
Young, 6883.865,720577,22801513,1698560,0.1340953
Young, 6886.955,813145,22801152,1791487,0.1469215
Young, 6890.042,722296,22894079,1700991,0.1332188
Young, 6893.104,717586,22803583,1696680,0.1348116
Young, 6896.226,776389,22799272,1755851,0.1425842
Young, 6899.353,797793,22858443,1777591,0.1446564
Young, 6902.441,737837,22880183,1718043,0.1360585
Young, 6905.455,791098,22820635,1771656,0.1455685
Young, 6908.558,741242,22874248,1722201,0.1368889
Young, 6911.696,772659,22824793,1753977,0.1448417
Young, 6914.825,782137,22856569,1763839,0.1433260
Young, 6917.934,774015,22866431,1756125,0.1436659
Young, 6921.009,802905,22858717,1785384,0.1463906
Young, 6924.098,877323,22887976,1860170,0.1577478
Young, 6927.199,762770,22962762,1746008,0.1393433
Young, 6930.222,730455,22848600,1714061,0.1360988
Young, 6933.320,796766,22816653,1780701,0.1463526
Young, 6936.454,786515,22883293,1770858,0.1435907
Young, 6939.532,752690,22873450,1737408,0.1385737
Young, 6942.638,769876,22840000,1754954,0.1420313
Young, 6945.697,834328,22857546,1819751,0.1523095
Young, 6948.746,836056,22922343,1821879,0.1514725
Young, 6951.919,790163,22924471,1776354,0.1459498
Young, 6955.067,832369,22878946,1818927,0.1519289
Young, 6958.144,787647,22921519,1774574,0.1446542
Young, 6961.254,725149,22877166,1712427,0.1336483
Young, 6964.336,831228,22815019,1818915,0.1521940
Young, 6967.393,887121,22921507,1875159,0.1576702
Young, 6970.515,843712,22977751,1832094,0.1481761
Young, 6973.622,815903,22934686,1804694,0.1494229
Young, 6976.709,728948,22907286,1718106,0.1355201
Young, 6979.808,751553,22820698,1741072,0.1390209
Young, 6982.896,777232,22843664,1767103,0.1427727
Young, 6986.015,735245,22869695,1725515,0.1353292
Young, 6989.037,743886,22828107,1734516,0.1390892
Young, 6992.188,776141,22837108,1767123,0.1418508
Young, 6995.259,721621,22869715,1712988,0.1336356
Young, 6998.378,756339,22815580,1748082,0.1391573
Young, 7001.510,784517,22850674,1776604,0.1441336
Young, 7004.564,817911,22879196,1810349,0.1497633
Young, 7007.632,759959,22912941,1752797,0.1395410
Young, 7010.697,750155,22855389,1743337,0.1385566
Young, 7013.847,822853,22845929,1816364,0.1518728
Young, 7016.959,782067,22918956,1775953,0.1424410
Young, 7020.022,775588,22878545,1769890,0.1409372
Young, 7023.130,707020,22872482,1701698,0.1315851
Young, 7026.203,746379,22804290,1741433,0.1369795
Young, 7029.325,834480,22844025,1829902,0.1545529
Young, 7032.489,847457,22932494,1843232,0.1542704
Young, 7035.563,726316,22945824,1722483,0.1342359
Young, 7038.628,750805,22825075,1747331,0.1397576
Young, 7041.710,758509,22849923,1755420,0.1394516
Young, 7044.816,845510,22858012,1842788,0.1478009
Young, 7047.895,748116,22945380,1745746,0.1382527
Young, 7050.879,731887,22848338,1729853,0.1373426
Young, 7053.983,746213,22832445,1744643,0.1401169
Young, 7057.059,815385,22847235,1814216,0.1483062
Young, 7060.155,749349,22916808,1748532,0.1388791
Young, 7063.232,743162,22851124,1742680,0.1372945
Young, 7066.306,737906,22845272,1737808,0.1368528
Young, 7069.394,755374,22840400,1755677,0.1399957
Young, 7072.542,784959,22858269,1785694,0.1446142
Young, 7075.629,732293,22888286,1733348,0.1358046
Young, 7078.679,748297,22835940,1749704,0.1383160
Young, 7081.821,839223,22852296,1841046,0.1520903
Young, 7088.104,755046,22876384,1760659,0.1391744
Young, 7091.161,884056,22863251,1889981,0.1627096
Young, 7094.247,758740,22992573,1765089,0.1389673
Young, 7097.329,772976,22867681,1779701,0.1416704
Young, 7100.349,723263,22882293,1730364,0.1336149
Young, 7103.396,752889,22832956,1760325,0.1381688
Young, 7106.452,757440,22862917,1765269,0.1391999
Young, 7109.515,825614,22867861,1833819,0.1505228
Young, 7112.615,837135,22936411,1845723,0.1515302
Young, 7115.807,807858,22948315,1816863,0.1469663
Young, 7118.911,785319,22919455,1794676,0.1438140
Young, 7122.034,738602,22897268,1748479,0.1365773
Young, 7125.041,886633,22851071,1897006,0.1526396
Young, 7128.112,727887,22999598,1738668,0.1346780
Young, 7131.204,739756,22841260,1757849,0.1371770
Young, 7134.299,737674,22860441,1757616,0.1366901
Young, 7137.382,760555,22860208,1780872,0.1393737
Young, 7140.424,780210,22883464,1800943,0.1432455
Young, 7143.460,739322,22903535,1760432,0.1375832
Young, 7146.585,801284,22863024,1822778,0.1461306
Young, 7149.698,742203,22925370,1764073,0.1376119
Young, 7152.788,746351,22866665,1768620,0.1395771
Young, 7155.825,711316,22871212,1733986,0.1343320
Young, 7158.888,879093,22836578,1902243,0.1539626
Young, 7161.983,735517,23004835,1759107,0.1368082
Young, 7165.064,784591,22861699,1808645,0.1442357
Young, 7168.235,797780,22911237,1822218,0.1451870
Young, 7171.232,832042,22924810,1856792,0.1512879
Young, 7174.326,760572,22959384,1785777,0.1392446
Young, 7177.330,842856,22888369,1868437,0.1525900
Young, 7180.450,793486,22971029,1819508,0.1456972
Young, 7183.555,693330,22922100,1719775,0.1307074
Young, 7186.514,814469,22822367,1841339,0.1488410
