Java HotSpot(TM) 64-Bit Server VM (25.40-b25) for linux-amd64 JRE (1.8.0_40-b26), built on Mar  7 2015 15:08:31 by "java_re" with gcc 4.3.0 20080428 (Red Hat 4.3.0-8)
Memory: 4k page, physical 264398780k(140515000k free), swap 4194296k(4194296k free)
CommandLine flags: -XX:+AggressiveOpts -XX:+AlwaysPreTouch -XX:InitialHeapSize=27917287424 -XX:LargePageSizeInBytes=2097152 -XX:MaxHeapSize=27917287424 -XX:MaxNewSize=24696061952 -XX:MaxTenuringThreshold=15 -XX:NewSize=24696061952 -XX:ParallelGCThreads=36 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:SurvivorRatio=14 -XX:TargetSurvivorRatio=95 -XX:-UseAdaptiveSizePolicy -XX:-UseBiasedLocking -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseLargePages -XX:+UseParallelOldGC 
10.846: [GC (Allocation Failure) [PSYoungGen: 21102592K->3969K(22609920K)] 21102592K->4055K(25755648K), 0.0060833 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
10.858: [GC (Allocation Failure) [PSYoungGen: 21106561K->2528K(22609920K)] 21106647K->2622K(25755648K), 0.0081750 secs] [Times: user=0.21 sys=0.00, real=0.01 secs] 
13.346: [GC (Allocation Failure) [PSYoungGen: 21105120K->687993K(22609920K)] 21105214K->688111K(25755648K), 0.1110002 secs] [Times: user=3.54 sys=0.00, real=0.11 secs] 
14.767: [GC (System.gc()) [PSYoungGen: 2084315K->8183K(22609920K)] 2084433K->8309K(25755648K), 0.0102487 secs] [Times: user=0.16 sys=0.00, real=0.01 secs] 
14.777: [Full GC (System.gc()) [PSYoungGen: 8183K->0K(22609920K)] [ParOldGen: 126K->7555K(3145728K)] 8309K->7555K(25755648K), [Metaspace: 16829K->16829K(1064960K)], 0.0530255 secs] [Times: user=0.74 sys=0.03, real=0.06 secs] 
100.845: [GC (System.gc()) [PSYoungGen: 5755249K->98581K(22609920K)] 5762804K->106145K(25755648K), 0.0236240 secs] [Times: user=0.58 sys=0.00, real=0.02 secs] 
100.869: [Full GC (System.gc()) [PSYoungGen: 98581K->0K(22609920K)] [ParOldGen: 7563K->105036K(3145728K)] 106145K->105036K(25755648K), [Metaspace: 20034K->20027K(1067008K)], 0.0958172 secs] [Times: user=2.49 sys=0.01, real=0.10 secs] 
226.997: [GC (Allocation Failure) [PSYoungGen: 21102592K->883654K(22609920K)] 21207628K->988763K(25755648K), 0.1465079 secs] [Times: user=4.86 sys=0.00, real=0.15 secs] 
247.037: [GC (GCLocker Initiated GC) [PSYoungGen: 21986246K->887231K(22609920K)] 22091356K->992349K(25755648K), 0.1379221 secs] [Times: user=4.69 sys=0.00, real=0.13 secs] 
258.157: [GC (Allocation Failure) [PSYoungGen: 21989823K->922607K(22609920K)] 22094944K->1027736K(25755648K), 0.1413406 secs] [Times: user=4.97 sys=0.00, real=0.14 secs] 
265.869: [GC (Allocation Failure) [PSYoungGen: 22025199K->907041K(22609920K)] 22130328K->1012243K(25755648K), 0.1367522 secs] [Times: user=4.78 sys=0.01, real=0.13 secs] 
271.739: [GC (Allocation Failure) [PSYoungGen: 22009633K->948675K(22609920K)] 22114835K->1053876K(25755648K), 0.1420781 secs] [Times: user=4.98 sys=0.00, real=0.14 secs] 
276.349: [GC (Allocation Failure) [PSYoungGen: 22051267K->962476K(22609920K)] 22156468K->1067685K(25755648K), 0.1459556 secs] [Times: user=5.09 sys=0.00, real=0.15 secs] 
280.322: [GC (Allocation Failure) [PSYoungGen: 22065068K->967766K(22609920K)] 22170277K->1072983K(25755648K), 0.1443233 secs] [Times: user=5.08 sys=0.00, real=0.14 secs] 
283.963: [GC (Allocation Failure) [PSYoungGen: 22070358K->996439K(22609920K)] 22175575K->1101657K(25755648K), 0.1517959 secs] [Times: user=5.25 sys=0.01, real=0.15 secs] 
287.215: [GC (Allocation Failure) [PSYoungGen: 22099031K->961273K(22609920K)] 22204249K->1066490K(25755648K), 0.1426344 secs] [Times: user=5.03 sys=0.00, real=0.14 secs] 
290.430: [GC (Allocation Failure) [PSYoungGen: 22063865K->994385K(22609920K)] 22169082K->1099603K(25755648K), 0.1481749 secs] [Times: user=5.24 sys=0.00, real=0.15 secs] 
