Java HotSpot(TM) 64-Bit Server VM (25.40-b25) for linux-amd64 JRE (1.8.0_40-b26), built on Mar  7 2015 15:08:31 by "java_re" with gcc 4.3.0 20080428 (Red Hat 4.3.0-8)
Memory: 4k page, physical 264398780k(140515620k free), swap 4194296k(4194296k free)
CommandLine flags: -XX:InitialHeapSize=2147483648 -XX:MaxHeapSize=2147483648 -XX:MaxNewSize=1610612736 -XX:NewSize=1610612736 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseParallelGC 
0.294: [GC (Allocation Failure) [PSYoungGen: 1179648K->3999K(1376256K)] 1179648K->4007K(1900544K), 0.0093037 secs] [Times: user=0.17 sys=0.03, real=0.01 secs] 
0.314: [GC (Allocation Failure) [PSYoungGen: 1183647K->2112K(1376256K)] 1183655K->2128K(1900544K), 0.0062795 secs] [Times: user=0.08 sys=0.05, real=0.01 secs] 
1.298: [GC (Allocation Failure) [PSYoungGen: 1181760K->10115K(1376256K)] 1181776K->10139K(1900544K), 0.0204374 secs] [Times: user=0.46 sys=0.03, real=0.02 secs] 
14.131: [GC (System.gc()) [PSYoungGen: 334443K->83688K(1376256K)] 334467K->83728K(1900544K), 0.0728888 secs] [Times: user=0.49 sys=1.89, real=0.07 secs] 
14.204: [Full GC (System.gc()) [PSYoungGen: 83688K->0K(1376256K)] [ParOldGen: 40K->82290K(524288K)] 83728K->82290K(1900544K), [Metaspace: 16710K->16710K(1064960K)], 0.3403245 secs] [Times: user=6.68 sys=0.13, real=0.34 secs] 
100.197: [GC (System.gc()) [PSYoungGen: 365067K->8404K(1376256K)] 447358K->90775K(1900544K), 0.0134095 secs] [Times: user=0.21 sys=0.01, real=0.01 secs] 
100.211: [Full GC (System.gc()) [PSYoungGen: 8404K->0K(1376256K)] [ParOldGen: 82370K->88869K(524288K)] 90775K->88869K(1900544K), [Metaspace: 20168K->20168K(1067008K)], 0.4296970 secs] [Times: user=13.70 sys=0.04, real=0.43 secs] 
211.095: [GC (Allocation Failure) [PSYoungGen: 1179648K->6563K(1376256K)] 1268517K->95440K(1900544K), 0.0114390 secs] [Times: user=0.25 sys=0.00, real=0.01 secs] 
230.175: [GC (Allocation Failure) [PSYoungGen: 1186211K->7816K(1376256K)] 1275088K->96702K(1900544K), 0.0118444 secs] [Times: user=0.07 sys=0.00, real=0.01 secs] 
240.351: [GC (Allocation Failure) [PSYoungGen: 1187464K->9001K(1515520K)] 1276350K->97894K(2039808K), 0.0151841 secs] [Times: user=0.17 sys=0.12, real=0.02 secs] 
249.738: [GC (Allocation Failure) [PSYoungGen: 1463593K->9576K(1511936K)] 1552486K->98478K(2036224K), 0.0066216 secs] [Times: user=0.07 sys=0.00, real=0.00 secs] 
258.967: [GC (Allocation Failure) [PSYoungGen: 1464168K->8328K(1521152K)] 1553070K->99215K(2045440K), 0.0087129 secs] [Times: user=0.11 sys=0.04, real=0.00 secs] 
268.024: [GC (Allocation Failure) [PSYoungGen: 1475208K->7288K(1518592K)] 1566095K->99124K(2042880K), 0.0093999 secs] [Times: user=0.14 sys=0.03, real=0.01 secs] 
276.972: [GC (Allocation Failure) [PSYoungGen: 1474168K->7432K(1525760K)] 1566004K->99572K(2050048K), 0.0086140 secs] [Times: user=0.12 sys=0.04, real=0.01 secs] 
286.618: [GC (Allocation Failure) [PSYoungGen: 1484040K->6708K(1523712K)] 1576180K->99700K(2048000K), 0.0296981 secs] [Times: user=0.37 sys=0.02, real=0.03 secs] 
325.544: [GC (System.gc()) [PSYoungGen: 1417077K->6088K(1529856K)] 1510069K->99704K(2054144K), 0.0798034 secs] [Times: user=0.56 sys=0.01, real=0.08 secs] 
325.624: [Full GC (System.gc()) [PSYoungGen: 6088K->0K(1529856K)] [ParOldGen: 93615K->89856K(524288K)] 99704K->89856K(2054144K), [Metaspace: 20797K->20797K(1069056K)], 1.2700053 secs] [Times: user=13.88 sys=0.12, real=1.27 secs] 
346.437: [GC (Allocation Failure) [PSYoungGen: 1484800K->9557K(1527808K)] 1574656K->99422K(2052096K), 0.0065422 secs] [Times: user=0.06 sys=0.01, real=0.01 secs] 
355.671: [GC (Allocation Failure) [PSYoungGen: 1494357K->7368K(1534464K)] 1584222K->100195K(2058752K), 0.0089918 secs] [Times: user=0.16 sys=0.01, real=0.01 secs] 
364.780: [GC (Allocation Failure) [PSYoungGen: 1501384K->7080K(1532416K)] 1594211K->100723K(2056704K), 0.0095617 secs] [Times: user=0.10 sys=0.02, real=0.01 secs] 
374.081: [GC (Allocation Failure) [PSYoungGen: 1501096K->6600K(1538048K)] 1594739K->100891K(2062336K), 0.0151569 secs] [Times: user=0.15 sys=0.01, real=0.02 secs] 
402.282: [GC (Allocation Failure) [PSYoungGen: 1508296K->6996K(1536512K)] 1602587K->102043K(2060800K), 0.0606554 secs] [Times: user=0.37 sys=0.01, real=0.06 secs] 
431.861: [GC (System.gc()) [PSYoungGen: 825382K->5760K(1541632K)] 920429K->101638K(2065920K), 0.0090357 secs] [Times: user=0.16 sys=0.01, real=0.01 secs] 
431.870: [Full GC (System.gc()) [PSYoungGen: 5760K->0K(1541632K)] [ParOldGen: 95878K->91142K(524288K)] 101638K->91142K(2065920K), [Metaspace: 20897K->20897K(1069056K)], 0.4115228 secs] [Times: user=13.20 sys=0.00, real=0.41 secs] 
452.620: [GC (Allocation Failure) [PSYoungGen: 1508864K->9640K(1540096K)] 1600006K->100790K(2064384K), 0.0247957 secs] [Times: user=0.55 sys=0.01, real=0.02 secs] 
462.009: [GC (Allocation Failure) [PSYoungGen: 1518504K->7071K(1545216K)] 1609654K->101114K(2069504K), 0.0114262 secs] [Times: user=0.09 sys=0.00, real=0.01 secs] 
471.554: [GC (Allocation Failure) [PSYoungGen: 1523103K->6607K(1543680K)] 1617146K->101354K(2067968K), 0.0106474 secs] [Times: user=0.14 sys=0.01, real=0.01 secs] 
480.791: [GC (Allocation Failure) [PSYoungGen: 1522639K->6863K(1547776K)] 1617386K->102234K(2072064K), 0.0093311 secs] [Times: user=0.12 sys=0.01, real=0.00 secs] 
514.614: [GC (Allocation Failure) [PSYoungGen: 1528015K->9022K(1546240K)] 1623386K->105017K(2070528K), 0.0516000 secs] [Times: user=0.40 sys=0.00, real=0.06 secs] 
551.673: [GC (Allocation Failure) [PSYoungGen: 1530174K->8446K(1550336K)] 1626169K->105777K(2074624K), 0.0346261 secs] [Times: user=0.19 sys=0.00, real=0.03 secs] 
586.702: [GC (Allocation Failure) [PSYoungGen: 1535230K->9790K(1549312K)] 1632561K->107729K(2073600K), 0.0143652 secs] [Times: user=0.07 sys=0.00, real=0.02 secs] 
633.753: [GC (Allocation Failure) [PSYoungGen: 1536574K->8094K(1552384K)] 1634513K->106753K(2076672K), 0.0353356 secs] [Times: user=0.13 sys=0.00, real=0.04 secs] 
663.695: [GC (System.gc()) [PSYoungGen: 889640K->5167K(1551360K)] 988299K->104593K(2075648K), 0.0528761 secs] [Times: user=0.30 sys=0.00, real=0.06 secs] 
663.748: [Full GC (System.gc()) [PSYoungGen: 5167K->0K(1551360K)] [ParOldGen: 99425K->92695K(524288K)] 104593K->92695K(2075648K), [Metaspace: 20982K->20982K(1069056K)], 1.3249991 secs] [Times: user=14.37 sys=0.07, real=1.32 secs] 
685.812: [GC (Allocation Failure) [PSYoungGen: 1530880K->9775K(1553920K)] 1623575K->102471K(2078208K), 0.0107110 secs] [Times: user=0.18 sys=0.04, real=0.01 secs] 
695.415: [GC (Allocation Failure) [PSYoungGen: 1543727K->7247K(1552896K)] 1636423K->103056K(2077184K), 0.0082810 secs] [Times: user=0.17 sys=0.00, real=0.00 secs] 
704.757: [GC (Allocation Failure) [PSYoungGen: 1541199K->7151K(1555456K)] 1637008K->103910K(2079744K), 0.0118408 secs] [Times: user=0.17 sys=0.00, real=0.01 secs] 
717.825: [GC (Allocation Failure) [PSYoungGen: 1544175K->7774K(1554432K)] 1640934K->105125K(2078720K), 0.0412822 secs] [Times: user=0.28 sys=0.00, real=0.05 secs] 
745.851: [GC (System.gc()) [PSYoungGen: 878310K->5519K(1556480K)] 975661K->103701K(2080768K), 0.0252686 secs] [Times: user=0.14 sys=0.00, real=0.02 secs] 
745.877: [Full GC (System.gc()) [PSYoungGen: 5519K->0K(1556480K)] [ParOldGen: 98181K->90448K(524288K)] 103701K->90448K(2080768K), [Metaspace: 20998K->20998K(1069056K)], 0.6153786 secs] [Times: user=5.95 sys=0.04, real=0.62 secs] 
753.045: [GC (System.gc()) [PSYoungGen: 3468K->291K(1555968K)] 93916K->90739K(2080256K), 0.0096043 secs] [Times: user=0.10 sys=0.00, real=0.01 secs] 
753.054: [Full GC (System.gc()) [PSYoungGen: 291K->0K(1555968K)] [ParOldGen: 90448K->88043K(524288K)] 90739K->88043K(2080256K), [Metaspace: 21001K->21001K(1069056K)], 0.4487175 secs] [Times: user=14.44 sys=0.00, real=0.45 secs] 
772.337: [GC (Allocation Failure) [PSYoungGen: 1539584K->8449K(1556480K)] 1627627K->96493K(2080768K), 0.0038154 secs] [Times: user=0.04 sys=0.01, real=0.00 secs] 
785.513: [GC (Allocation Failure) [PSYoungGen: 1548033K->6113K(1555968K)] 1636077K->97054K(2080256K), 0.0062951 secs] [Times: user=0.10 sys=0.01, real=0.01 secs] 
798.604: [GC (Allocation Failure) [PSYoungGen: 1545697K->6049K(1557504K)] 1636638K->97207K(2081792K), 0.0049244 secs] [Times: user=0.07 sys=0.01, real=0.01 secs] 
811.816: [GC (Allocation Failure) [PSYoungGen: 1547681K->6081K(1556992K)] 1638839K->97383K(2081280K), 0.0052377 secs] [Times: user=0.09 sys=0.00, real=0.00 secs] 
824.949: [GC (Allocation Failure) [PSYoungGen: 1547713K->6241K(1559040K)] 1639015K->97647K(2083328K), 0.0046531 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
838.122: [GC (Allocation Failure) [PSYoungGen: 1550433K->6145K(1558016K)] 1641839K->97671K(2082304K), 0.0060898 secs] [Times: user=0.08 sys=0.00, real=0.01 secs] 
851.314: [GC (Allocation Failure) [PSYoungGen: 1550337K->5985K(1560064K)] 1641863K->97647K(2084352K), 0.0058385 secs] [Times: user=0.07 sys=0.01, real=0.01 secs] 
864.547: [GC (Allocation Failure) [PSYoungGen: 1552737K->6145K(1559552K)] 1644399K->98023K(2083840K), 0.0042856 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
877.802: [GC (Allocation Failure) [PSYoungGen: 1552897K->6049K(1560576K)] 1644775K->98111K(2084864K), 0.0063147 secs] [Times: user=0.10 sys=0.00, real=0.00 secs] 
891.006: [GC (Allocation Failure) [PSYoungGen: 1554337K->6241K(1560576K)] 1646399K->98399K(2084864K), 0.0041997 secs] [Times: user=0.04 sys=0.01, real=0.00 secs] 
904.240: [GC (Allocation Failure) [PSYoungGen: 1554529K->6241K(1561600K)] 1646687K->98583K(2085888K), 0.0039060 secs] [Times: user=0.04 sys=0.00, real=0.00 secs] 
917.489: [GC (Allocation Failure) [PSYoungGen: 1556065K->6081K(1561088K)] 1648407K->98503K(2085376K), 0.0069795 secs] [Times: user=0.08 sys=0.00, real=0.00 secs] 
930.740: [GC (Allocation Failure) [PSYoungGen: 1555905K->6017K(1562112K)] 1648327K->98591K(2086400K), 0.0060407 secs] [Times: user=0.09 sys=0.00, real=0.00 secs] 
1035.681: [GC (Allocation Failure) [PSYoungGen: 1557377K->5935K(1562112K)] 1649951K->98605K(2086400K), 0.0145695 secs] [Times: user=0.34 sys=0.01, real=0.02 secs] 
1115.918: [GC (Allocation Failure) [PSYoungGen: 1557295K->4495K(1562624K)] 1649965K->99029K(2086912K), 0.0122701 secs] [Times: user=0.30 sys=0.00, real=0.01 secs] 
1166.739: [GC (Allocation Failure) [PSYoungGen: 1556879K->4559K(1562624K)] 1651413K->99349K(2086912K), 0.0139311 secs] [Times: user=0.32 sys=0.00, real=0.01 secs] 
1208.610: [GC (Allocation Failure) [PSYoungGen: 1556943K->5231K(1563136K)] 1651733K->100245K(2087424K), 0.0096785 secs] [Times: user=0.19 sys=0.00, real=0.01 secs] 
1241.439: [GC (Allocation Failure) [PSYoungGen: 1558127K->4928K(1562624K)] 1653141K->100429K(2086912K), 0.0066145 secs] [Times: user=0.14 sys=0.00, real=0.00 secs] 
1273.024: [GC (Allocation Failure) [PSYoungGen: 1557824K->5359K(1563648K)] 1653325K->100964K(2087936K), 0.0118951 secs] [Times: user=0.23 sys=0.00, real=0.01 secs] 
1299.444: [GC (Allocation Failure) [PSYoungGen: 1559279K->4896K(1563136K)] 1654884K->101052K(2087424K), 0.0106110 secs] [Times: user=0.22 sys=0.00, real=0.01 secs] 
1325.809: [GC (Allocation Failure) [PSYoungGen: 1558816K->5056K(1563648K)] 1654972K->101284K(2087936K), 0.0089503 secs] [Times: user=0.19 sys=0.00, real=0.01 secs] 
1348.995: [GC (Allocation Failure) [PSYoungGen: 1559488K->5391K(1563648K)] 1655716K->101715K(2087936K), 0.0098675 secs] [Times: user=0.20 sys=0.00, real=0.01 secs] 
1371.006: [GC (Allocation Failure) [PSYoungGen: 1559823K->5280K(1564160K)] 1656147K->102203K(2088448K), 0.0066820 secs] [Times: user=0.16 sys=0.00, real=0.01 secs] 
1393.007: [GC (Allocation Failure) [PSYoungGen: 1560704K->5376K(1564160K)] 1657626K->102491K(2088448K), 0.0073164 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
1412.511: [GC (Allocation Failure) [PSYoungGen: 1560832K->6223K(1564672K)] 1657947K->103489K(2088960K), 0.0101476 secs] [Times: user=0.21 sys=0.01, real=0.01 secs] 
1431.429: [GC (Allocation Failure) [PSYoungGen: 1562703K->5825K(1564672K)] 1659969K->103753K(2088960K), 0.0092351 secs] [Times: user=0.18 sys=0.00, real=0.01 secs] 
1450.367: [GC (Allocation Failure) [PSYoungGen: 1562305K->5857K(1564672K)] 1660233K->103913K(2088960K), 0.0071202 secs] [Times: user=0.16 sys=0.00, real=0.01 secs] 
1468.526: [GC (Allocation Failure) [PSYoungGen: 1562337K->6031K(1564672K)] 1660393K->104200K(2088960K), 0.0072013 secs] [Times: user=0.12 sys=0.00, real=0.01 secs] 
1485.120: [GC (Allocation Failure) [PSYoungGen: 1562511K->5921K(1565184K)] 1660680K->104744K(2089472K), 0.0090634 secs] [Times: user=0.18 sys=0.00, real=0.01 secs] 
1501.828: [GC (Allocation Failure) [PSYoungGen: 1563376K->5665K(1565184K)] 1662199K->104592K(2089472K), 0.0071644 secs] [Times: user=0.17 sys=0.00, real=0.00 secs] 
1518.293: [GC (Allocation Failure) [PSYoungGen: 1563169K->5729K(1565184K)] 1662096K->104752K(2089472K), 0.0079335 secs] [Times: user=0.18 sys=0.01, real=0.01 secs] 
1534.086: [GC (Allocation Failure) [PSYoungGen: 1563233K->6223K(1565184K)] 1662256K->105358K(2089472K), 0.0090457 secs] [Times: user=0.18 sys=0.01, real=0.01 secs] 
1548.789: [GC (Allocation Failure) [PSYoungGen: 1563727K->5825K(1565696K)] 1662862K->105862K(2089984K), 0.0072356 secs] [Times: user=0.17 sys=0.01, real=0.01 secs] 
1563.576: [GC (Allocation Failure) [PSYoungGen: 1563841K->5857K(1565184K)] 1663878K->105990K(2089472K), 0.0063505 secs] [Times: user=0.14 sys=0.00, real=0.00 secs] 
