
===================================
Domain Marker;critical-jOPS;18129.0
Domain Marker;max-jOPS;81875.0
jOPS;min;median;90-th percentile;95-th percentile;99-th percentile;max
0.0;NaN;NaN;NaN;NaN;NaN;NaN
986.0;1000.0;1800.0;2100.0;2300.0;3200.0;17200.0
1973.0;700.0;2000.0;2500.0;2700.0;3600.0;170000.0
2959.0;700.0;2200.0;2900.0;3200.0;4000.0;177000.0
3946.0;700.0;2400.0;3300.0;3600.0;5100.0;172000.0
4932.0;700.0;2600.0;3700.0;4100.0;7200.0;174000.0
5919.0;700.0;2800.0;4100.0;4600.0;9000.0;166000.0
6905.0;600.0;2900.0;4500.0;5100.0;9900.0;169000.0
7892.0;600.0;3100.0;4900.0;5500.0;10600.0;136000.0
8878.0;600.0;3300.0;5300.0;6000.0;11100.0;138000.0
9864.0;700.0;3400.0;5700.0;6600.0;13388.000000000466;134000.0
10851.0;600.0;3500.0;6100.0;6900.0;12800.0;139000.0
11837.0;600.0;3700.0;6500.0;7500.0;17700.0;138000.0
12824.0;600.0;3900.0;6800.0;7800.0;19200.0;144000.0
13810.0;600.0;3900.0;7000.0;8100.0;18700.0;141000.0
14797.0;600.0;3900.0;7000.0;8200.0;19500.0;153000.0
15783.0;600.0;3900.0;7000.0;8300.0;34000.0;149000.0
16770.0;600.0;4000.0;7100.0;8500.0;37000.0;145000.0
17756.0;600.0;4000.0;7200.0;8500.0;29000.0;149000.0
18743.0;600.0;4000.0;7300.0;8800.0;46000.0;155000.0
19729.0;600.0;4000.0;7400.0;8900.0;31000.0;155000.0
20715.0;600.0;4000.0;7500.0;9100.0;57000.0;150000.0
21702.0;600.0;4000.0;7500.0;9100.0;56000.0;156000.0
22688.0;600.0;4000.0;7700.0;9400.0;58000.0;158000.0
23675.0;600.0;4000.0;7700.0;9400.0;64000.0;161000.0
24661.0;600.0;4000.0;7700.0;9500.0;67000.0;173000.0
25648.0;700.0;4000.0;7800.0;9700.0;76000.0;169000.0
26634.0;700.0;4000.0;7900.0;9700.0;77000.0;162000.0
27621.0;600.0;4100.0;8000.0;9900.0;77000.0;165000.0
28607.0;600.0;4000.0;7900.0;9900.0;82000.0;180000.0
29593.0;600.0;4100.0;8200.0;10300.0;90000.0;178000.0
30580.0;600.0;4000.0;8100.0;10300.0;88000.0;172000.0
31566.0;600.0;4000.0;8300.0;10600.0;95000.0;175000.0
32553.0;600.0;4000.0;8300.0;10800.0;98000.0;176000.0
33539.0;700.0;4000.0;8200.0;10800.0;95000.0;175000.0
34526.0;700.0;4100.0;8800.0;11400.0;103000.0;170000.0
35512.0;600.0;4000.0;8700.0;11800.0;108000.0;192000.0
36499.0;600.0;4000.0;8700.0;12000.0;106000.0;184000.0
37485.0;700.0;4100.0;9100.0;12800.0;108000.0;192000.0
38472.0;700.0;4100.0;9200.0;13600.0;121000.0;301000.0
39458.0;700.0;4100.0;9300.0;14900.0;131000.0;320000.0
40444.0;700.0;4000.0;9400.0;15300.0;120000.0;190000.0
41431.0;600.0;4100.0;9600.0;18000.0;125000.0;196000.0
42417.0;700.0;4100.0;9900.0;21000.0;123000.0;192000.0
