Probes jOPS / Total jOPS
===================================
Domain Marker;critical-jOPS;18129.0
Domain Marker;max-jOPS;81875.0
Domain Marker;Last Success for SLAs;33539.0
Range Marker;Soft Limit;5.0
Range Marker;Hard Limit;3.0
jOPS;Percent of probes jOPS
0;NaN
986;95.46919753682451
1973;96.9537462650345
2959;97.2821923963563
3946;97.6396695558402
4932;97.76199673595113
5919;98.01162598970666
6905;98.30413510917666
7892;98.13392328256805
8878;98.41302904504477
9864;98.40797115729556
10851;98.35480118438564
11837;98.49657251661765
12824;98.45518745573578
13810;91.9852351823303
14797;86.29623992857807
15783;80.57095705208778
16770;75.80776185303681
17756;71.64552540088023
18743;67.87094314030742
19729;64.57274689028839
20715;61.46106852400582
21702;58.648454577121655
22688;56.144713766408785
23675;53.88842491594926
24661;51.533631396901704
25648;49.62974663244182
26634;47.8866344531382
27621;46.14763269315192
28607;44.49961455078544
29593;43.325856819550104
30580;41.62880493651921
31566;40.58013912480058
32553;39.01906898027729
33539;37.77997901611347
34526;36.813330307075866
35512;35.98531727410615
36499;34.667862910781984
37485;33.98745800301026
38472;33.11368360980441
39458;32.209072497934955
40444;31.449059143214132
41431;30.80642193455891
42417;29.912066673248262
43404;29.432170053299046
44390;28.66564212965906
45377;27.94504739775742
46363;27.522849568453776
47350;26.929012556194348
48336;26.150298904611855
49322;25.72827013514626
50309;25.256990340398488
51295;24.84939978434099
52282;24.280717036842496
53268;23.702912287123564
54255;23.405505200053792
55241;23.05529594947812
56228;22.489522619877583
57214;22.14396150046738
58201;21.720593325123527
59187;21.52411804293342
60173;21.06547615167796
61160;20.643160965089077
62146;20.325587825418957
63133;20.08708032921408
64119;19.417932137016884
65106;19.29792286664234
66092;18.87035569328517
67079;18.679070114552292
68065;18.120618896335834
69051;17.93948994696002
70038;17.57525155634928
71024;17.13532714558383
72011;16.81011903918385
72997;16.27922233947098
73984;15.767957210802082
74970;13.85882002153648
75957;11.770260550520046
76943;10.94046171461401
77930;8.45530386203721
78916;5.625960786521051
79902;3.8911140317484127
80889;2.045125669089638
81875;0.5024826701769749
82862;0.03305877609067226
83848;0.026693021376413377
84835;0.022211900260098876
85821;0.017101670647195772
