Type, StartTime, SurvivorSize, UsedMemYGandOG, ResMemOGandSurvior, len
Young, 6468.339,805560,22876422,1844683,0.1441668
Young, 6471.579,717411,22947275,1757150,0.1293886
Young, 6474.799,744304,22859742,1784555,0.1334166
Young, 6478.011,749975,22887147,1790610,0.1352672
Young, 6481.234,767831,22893202,1808826,0.1367873
Young, 6484.473,681200,22911418,1722555,0.1262622
Young, 6487.714,717617,22825147,1759396,0.1293115
Young, 6490.971,744858,22861988,1787069,0.1363889
Young, 6494.280,831670,22889661,1874257,0.1476728
Young, 6497.483,675392,22976849,1718347,0.1227585
Young, 6500.723,725363,22820939,1768742,0.1314291
Young, 6503.969,717705,22871334,1761484,0.1291078
Young, 6507.191,745867,22864076,1790006,0.1338248
Young, 6510.415,839413,22892598,1883961,0.1508841
Young, 6513.643,713282,22986553,1758221,0.1297814
Young, 6516.835,719321,22860813,1764636,0.1335280
Young, 6520.026,748500,22867228,1794207,0.1349256
Young, 6523.269,750638,22896799,1796801,0.1337566
Young, 6526.572,638490,22899393,1685093,0.1162568
Young, 6529.760,654489,22787685,1701452,0.1190559
Young, 6532.990,695395,22804044,1742814,0.1257030
Young, 6536.218,702457,22845406,1750476,0.1275517
Young, 6539.447,698016,22853068,1746403,0.1253645
Young, 6542.655,674837,22848995,1723592,0.1226016
Young, 6545.832,688778,22826184,1737925,0.1231808
Young, 6548.994,673829,22840517,1723328,0.1221134
Young, 6552.207,671205,22825920,1721120,0.1210425
Young, 6555.411,711642,22823712,1761965,0.1278733
Young, 6558.644,698124,22864557,1748831,0.1266058
Young, 6561.905,696143,22851423,1747226,0.1251627
Young, 6565.106,715112,22849818,1766595,0.1297601
Young, 6568.312,770139,22869187,1821998,0.1382322
Young, 6571.541,778658,22924590,1830893,0.1409520
Young, 6574.737,770752,22933485,1823419,0.1386291
Young, 6577.972,715716,22926011,1768751,0.1284344
Young, 6581.158,743198,22871343,1796601,0.1322846
Young, 6584.394,742110,22899193,1795881,0.1344829
Young, 6587.614,755097,22898473,1809252,0.1369209
Young, 6590.801,777715,22911844,1832302,0.1376221
Young, 6594.052,805112,22934894,1860075,0.1439316
Young, 6597.313,766994,22962667,1822333,0.1371552
Young, 6600.528,710439,22924925,1766162,0.1289790
Young, 6603.702,732351,22868754,1788450,0.1321153
Young, 6606.958,733535,22891042,1790018,0.1321200
Young, 6610.123,757065,22892610,1813908,0.1349254
Young, 6613.362,762640,22916500,1819851,0.1375684
Young, 6616.594,764287,22922443,1821866,0.1378930
Young, 6619.786,762932,22924458,1820887,0.1362396
Young, 6622.975,725720,22923479,1784067,0.1313382
Young, 6626.223,827639,22886659,1886362,0.1469950
Young, 6629.449,774190,22988954,1833345,0.1380089
Young, 6632.666,726388,22935937,1786199,0.1309441
Young, 6635.798,751960,22888791,1812147,0.1355540
Young, 6638.982,717147,22914739,1777703,0.1303325
Young, 6642.164,794458,22880295,1855453,0.1447787
Young, 6645.392,715582,22958045,1777177,0.1293253
Young, 6648.627,747884,22879769,1810151,0.1357497
Young, 6651.817,737829,22912743,1800464,0.1335314
Young, 6655.027,770834,22903056,1833877,0.1373335
Young, 6658.228,762003,22936469,1825406,0.1378940
Young, 6661.379,823159,22927998,1886938,0.1464835
Young, 6664.570,708936,22989530,1773171,0.1297093
Young, 6667.754,733634,22875763,1798253,0.1327988
Young, 6670.927,738570,22900845,1803558,0.1337560
Young, 6674.065,788014,22906150,1853353,0.1409785
Young, 6677.298,764375,22955945,1830122,0.1367770
Young, 6680.489,704254,22932714,1770361,0.1292211
Young, 6683.698,781541,22872953,1848024,0.1398190
Young, 6686.903,766426,22950616,1833293,0.1374372
Young, 6690.048,774016,22935885,1841251,0.1398390
Young, 6693.186,764120,22943843,1831747,0.1371864
Young, 6696.380,718369,22934339,1786372,0.1289755
Young, 6699.549,710860,22888964,1779239,0.1306145
Young, 6702.707,736059,22881831,1804798,0.1324391
Young, 6705.917,759194,22907262,1828293,0.1357183
Young, 6709.106,809644,22930885,1879127,0.1429437
Young, 6712.300,749945,22981719,1820205,0.1350852
Young, 6715.497,775590,22922797,1846249,0.1394719
Young, 6718.662,712959,22948841,1783986,0.1292418
Young, 6721.833,728023,22886578,1799402,0.1328567
Young, 6725.043,733163,22901994,1804982,0.1324889
Young, 6728.230,854565,22907574,1926808,0.1523419
Young, 6731.400,761366,23029400,1833953,0.1371216
Young, 6734.591,716281,22936545,1789236,0.1306133
Young, 6737.811,716770,22891828,1790286,0.1299965
Young, 6740.958,765980,22892878,1839879,0.1376382
Young, 6744.225,782711,22942471,1856978,0.1405073
