Java HotSpot(TM) 64-Bit Server VM (25.20-b20) for linux-amd64 JRE (1.8.0_20-ea-b20), built on Jun 24 2014 21:14:09 by "java_re" with gcc 4.3.0 20080428 (Red Hat 4.3.0-8)
Memory: 4k page, physical 264398780k(140398824k free), swap 4194296k(4194296k free)
CommandLine flags: -XX:+AggressiveOpts -XX:+AlwaysPreTouch -XX:InitialHeapSize=27917287424 -XX:LargePageSizeInBytes=2097152 -XX:MaxHeapSize=27917287424 -XX:MaxNewSize=24696061952 -XX:MaxTenuringThreshold=15 -XX:NewSize=24696061952 -XX:ParallelGCThreads=36 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:SurvivorRatio=14 -XX:TargetSurvivorRatio=95 -XX:-UseAdaptiveSizePolicy -XX:-UseBiasedLocking -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseLargePages -XX:+UseParallelGC -XX:+UseParallelOldGC 
10.824: [GC (Allocation Failure) [PSYoungGen: 21102592K->3968K(22609920K)] 21102592K->4054K(25755648K), 0.0054912 secs] [Times: user=0.03 sys=0.02, real=0.01 secs] 
10.834: [GC (Allocation Failure) [PSYoungGen: 21106560K->2464K(22609920K)] 21106646K->2558K(25755648K), 0.0086403 secs] [Times: user=0.20 sys=0.00, real=0.01 secs] 
13.410: [GC (Allocation Failure) [PSYoungGen: 21105056K->835656K(22609920K)] 21105150K->835774K(25755648K), 0.1245755 secs] [Times: user=4.09 sys=0.00, real=0.12 secs] 
14.581: [GC (System.gc()) [PSYoungGen: 1836803K->8247K(22609920K)] 1836922K->8373K(25755648K), 0.0094423 secs] [Times: user=0.17 sys=0.00, real=0.01 secs] 
14.591: [Full GC (System.gc()) [PSYoungGen: 8247K->0K(22609920K)] [ParOldGen: 126K->7600K(3145728K)] 8373K->7600K(25755648K), [Metaspace: 16652K->16650K(1064960K)], 0.0528448 secs] [Times: user=0.62 sys=0.03, real=0.05 secs] 
100.577: [GC (System.gc()) [PSYoungGen: 6420025K->98635K(22609920K)] 6427626K->106252K(25755648K), 0.0267443 secs] [Times: user=0.65 sys=0.00, real=0.03 secs] 
100.604: [Full GC (System.gc()) [PSYoungGen: 98635K->0K(22609920K)] [ParOldGen: 7616K->105059K(3145728K)] 106252K->105059K(25755648K), [Metaspace: 19845K->19841K(1067008K)], 0.1145925 secs] [Times: user=2.55 sys=0.02, real=0.11 secs] 
228.463: [GC (Allocation Failure) [PSYoungGen: 21102592K->886909K(22609920K)] 21207651K->991977K(25755648K), 0.1459414 secs] [Times: user=5.07 sys=0.00, real=0.15 secs] 
248.604: [GC (Allocation Failure) [PSYoungGen: 21989501K->885984K(22609920K)] 22094569K->991059K(25755648K), 0.1363131 secs] [Times: user=4.73 sys=0.00, real=0.13 secs] 
259.843: [GC (Allocation Failure) [PSYoungGen: 21988576K->894414K(22609920K)] 22093651K->999562K(25755648K), 0.1337468 secs] [Times: user=4.68 sys=0.00, real=0.14 secs] 
267.564: [GC (Allocation Failure) [PSYoungGen: 21997006K->917701K(22609920K)] 22102154K->1022857K(25755648K), 0.1363255 secs] [Times: user=4.73 sys=0.00, real=0.14 secs] 
273.498: [GC (Allocation Failure) [PSYoungGen: 22020293K->966566K(22609920K)] 22125449K->1071722K(25755648K), 0.1480289 secs] [Times: user=5.18 sys=0.00, real=0.15 secs] 
278.151: [GC (Allocation Failure) [PSYoungGen: 22069158K->964269K(22609920K)] 22174314K->1069433K(25755648K), 0.1452153 secs] [Times: user=5.11 sys=0.00, real=0.14 secs] 
282.402: [GC (Allocation Failure) [PSYoungGen: 22066861K->1012047K(22609920K)] 22172025K->1117219K(25755648K), 0.1545042 secs] [Times: user=5.37 sys=0.00, real=0.16 secs] 
286.022: [GC (Allocation Failure) [PSYoungGen: 22114639K->992863K(22609920K)] 22219811K->1098035K(25755648K), 0.1467700 secs] [Times: user=5.15 sys=0.00, real=0.15 secs] 
289.398: [GC (Allocation Failure) [PSYoungGen: 22095455K->1103230K(22609920K)] 22200627K->1208402K(25755648K), 0.1638393 secs] [Times: user=5.79 sys=0.00, real=0.17 secs] 
292.648: [GC (Allocation Failure) [PSYoungGen: 22205822K->1069445K(22609920K)] 22310994K->1174617K(25755648K), 0.1599702 secs] [Times: user=5.65 sys=0.00, real=0.16 secs] 
