Java HotSpot(TM) 64-Bit Server VM (25.20-b20) for linux-amd64 JRE (1.8.0_20-ea-b20), built on Jun 24 2014 21:14:09 by "java_re" with gcc 4.3.0 20080428 (Red Hat 4.3.0-8)
Memory: 4k page, physical 264398780k(140399444k free), swap 4194296k(4194296k free)
CommandLine flags: -XX:InitialHeapSize=2147483648 -XX:MaxHeapSize=2147483648 -XX:MaxNewSize=1610612736 -XX:NewSize=1610612736 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseParallelGC 
0.285: [GC (Allocation Failure) [PSYoungGen: 1179648K->3858K(1376256K)] 1179648K->3866K(1900544K), 0.0081037 secs] [Times: user=0.09 sys=0.05, real=0.00 secs] 
0.310: [GC (Allocation Failure) [PSYoungGen: 1183506K->2832K(1376256K)] 1183514K->2848K(1900544K), 0.0094908 secs] [Times: user=0.15 sys=0.03, real=0.01 secs] 
1.306: [GC (Allocation Failure) [PSYoungGen: 1182480K->10084K(1376256K)] 1182496K->10108K(1900544K), 0.0148165 secs] [Times: user=0.28 sys=0.02, real=0.01 secs] 
13.954: [GC (System.gc()) [PSYoungGen: 340080K->83695K(1376256K)] 340104K->83735K(1900544K), 0.0795659 secs] [Times: user=1.19 sys=1.53, real=0.08 secs] 
14.033: [Full GC (System.gc()) [PSYoungGen: 83695K->0K(1376256K)] [ParOldGen: 40K->82333K(524288K)] 83735K->82333K(1900544K), [Metaspace: 16533K->16532K(1064960K)], 0.3148635 secs] [Times: user=5.35 sys=0.25, real=0.32 secs] 
99.889: [GC (System.gc()) [PSYoungGen: 322781K->8426K(1376256K)] 405114K->90839K(1900544K), 0.0115132 secs] [Times: user=0.19 sys=0.00, real=0.02 secs] 
99.900: [Full GC (System.gc()) [PSYoungGen: 8426K->0K(1376256K)] [ParOldGen: 82413K->88919K(524288K)] 90839K->88919K(1900544K), [Metaspace: 19972K->19972K(1067008K)], 0.4412547 secs] [Times: user=13.84 sys=0.03, real=0.44 secs] 
212.686: [GC (Allocation Failure) [PSYoungGen: 1179648K->6061K(1376256K)] 1268567K->94989K(1900544K), 0.0091054 secs] [Times: user=0.21 sys=0.00, real=0.01 secs] 
231.889: [GC (Allocation Failure) [PSYoungGen: 1185709K->8984K(1376256K)] 1274637K->97920K(1900544K), 0.0089750 secs] [Times: user=0.18 sys=0.00, real=0.01 secs] 
241.935: [GC (Allocation Failure) [PSYoungGen: 1188632K->9096K(1515520K)] 1277568K->98040K(2039808K), 0.0132613 secs] [Times: user=0.12 sys=0.19, real=0.01 secs] 
251.163: [GC (Allocation Failure) [PSYoungGen: 1464200K->9577K(1512448K)] 1553144K->98528K(2036736K), 0.0089781 secs] [Times: user=0.12 sys=0.08, real=0.00 secs] 
260.288: [GC (Allocation Failure) [PSYoungGen: 1464681K->8440K(1521152K)] 1553632K->99529K(2045440K), 0.0101204 secs] [Times: user=0.15 sys=0.11, real=0.01 secs] 
269.402: [GC (Allocation Failure) [PSYoungGen: 1475320K->7336K(1518592K)] 1566409K->99266K(2042880K), 0.0081457 secs] [Times: user=0.14 sys=0.03, real=0.01 secs] 
278.404: [GC (Allocation Failure) [PSYoungGen: 1474216K->7112K(1525760K)] 1566146K->99242K(2050048K), 0.0144011 secs] [Times: user=0.08 sys=0.00, real=0.02 secs] 
287.763: [GC (Allocation Failure) [PSYoungGen: 1483720K->6868K(1523712K)] 1575850K->99890K(2048000K), 0.0096088 secs] [Times: user=0.10 sys=0.02, real=0.01 secs] 
327.282: [GC (Allocation Failure) [PSYoungGen: 1483476K->6100K(1529856K)] 1576498K->99746K(2054144K), 0.0238691 secs] [Times: user=0.06 sys=0.00, real=0.03 secs] 
