
===================================
Domain Marker;critical-jOPS;20604.0
Domain Marker;max-jOPS;79902.0
jOPS;min;median;90-th percentile;95-th percentile;99-th percentile;max
0.0;NaN;NaN;NaN;NaN;NaN;NaN
986.0;1000.0;1800.0;2100.0;2300.0;3200.0;17700.0
1973.0;700.0;2000.0;2400.0;2600.0;3500.0;315000.0
2959.0;800.0;2200.0;2800.0;3000.0;3700.0;165000.0
3946.0;700.0;2400.0;3200.0;3400.0;4000.0;300000.0
4932.0;700.0;2600.0;3500.0;3700.0;4300.0;212000.0
5919.0;700.0;2800.0;3900.0;4100.0;4900.0;226000.0
6905.0;700.0;3000.0;4300.0;4600.0;5500.0;248000.0
7892.0;700.0;3200.0;4600.0;4900.0;5800.0;165000.0
8878.0;600.0;3400.0;5000.0;5400.0;6600.0;205000.0
9864.0;600.0;3600.0;5400.0;5800.0;7100.0;254000.0
10851.0;600.0;3800.0;5800.0;6200.0;7900.0;208000.0
11837.0;600.0;4000.0;6100.0;6700.0;11900.0;230000.0
12824.0;600.0;4200.0;6500.0;7000.0;12600.0;248000.0
13810.0;600.0;4200.0;6500.0;7100.0;14800.0;137000.0
14797.0;600.0;4300.0;6500.0;7100.0;12400.0;138000.0
15783.0;600.0;4300.0;6600.0;7200.0;27000.0;139000.0
16770.0;600.0;4300.0;6700.0;7400.0;31000.0;144000.0
17756.0;700.0;4300.0;6700.0;7400.0;22000.0;139000.0
18743.0;700.0;4300.0;6800.0;7600.0;36000.0;143000.0
19729.0;600.0;4400.0;6900.0;7700.0;44000.0;154000.0
20715.0;600.0;4400.0;6900.0;7800.0;55000.0;177000.0
21702.0;600.0;4400.0;7000.0;7900.0;55000.0;149000.0
22688.0;600.0;4400.0;7100.0;8000.0;59000.0;274000.0
23675.0;700.0;4400.0;7200.0;8200.0;66000.0;155000.0
24661.0;700.0;4300.0;7100.0;8300.0;67000.0;157000.0
25648.0;700.0;4400.0;7300.0;8600.0;74000.0;157000.0
26634.0;600.0;4300.0;7400.0;8700.0;66000.0;158000.0
27621.0;600.0;4400.0;7500.0;8900.0;75000.0;163000.0
28607.0;600.0;4400.0;7500.0;9000.0;85000.0;161000.0
29593.0;700.0;4400.0;7700.0;9200.0;83000.0;165000.0
30580.0;600.0;4300.0;7800.0;9400.0;88000.0;176000.0
31566.0;700.0;4400.0;7800.0;9500.0;92000.0;170000.0
32553.0;600.0;4300.0;7900.0;9800.0;96000.0;170000.0
33539.0;700.0;4300.0;8000.0;9800.0;95000.0;173000.0
34526.0;600.0;4300.0;8200.0;10200.0;99000.0;180000.0
35512.0;700.0;4300.0;8400.0;10500.0;105000.0;173000.0
36499.0;700.0;4200.0;8300.0;10400.0;103000.0;190000.0
37485.0;700.0;4300.0;8600.0;11200.0;111000.0;181000.0
38472.0;700.0;4200.0;8800.0;11600.0;113000.0;188000.0
39458.0;700.0;4200.0;8800.0;12200.0;116000.0;199000.0
40444.0;700.0;4200.0;9000.0;12600.0;113000.0;190000.0
41431.0;700.0;4200.0;9200.0;13200.0;118000.0;199000.0
42417.0;700.0;4200.0;9300.0;13900.0;121000.0;197000.0
43404.0;700.0;4300.0;9600.0;22000.0;123000.0;201000.0
44390.0;700.0;4200.0;9700.0;21000.0;126000.0;208000.0
45377.0;700.0;4100.0;9700.0;24000.0;127000.0;201000.0
46363.0;600.0;4200.0;10100.0;32000.0;131000.0;227000.0
47350.0;700.0;4200.0;10300.0;37000.0;135000.0;225000.0
48336.0;700.0;4300.0;10500.0;37000.0;132000.0;226000.0
49322.0;700.0;4100.0;10700.0;47000.0;140000.0;229000.0
50309.0;700.0;4200.0;11000.0;51000.0;139000.0;210000.0
51295.0;700.0;4200.0;11600.0;58000.0;142000.0;223000.0
52282.0;600.0;4200.0;11900.0;61000.0;148000.0;243000.0
53268.0;700.0;4300.0;12200.0;62000.0;148000.0;243000.0
54255.0;700.0;4300.0;13300.0;70000.0;149000.0;264000.0
55241.0;700.0;4200.0;13600.0;73000.0;153000.0;278000.0
56228.0;700.0;4300.0;15400.0;77000.0;154000.0;263000.0
57214.0;700.0;4300.0;21000.0;85000.0;160000.0;272000.0
58201.0;700.0;4400.0;34000.0;96000.0;169000.0;408000.0
59187.0;700.0;4400.0;32000.0;91000.0;162000.0;278000.0
60173.0;700.0;4300.0;42000.0;100000.0;169000.0;279000.0
61160.0;700.0;4400.0;48000.0;108000.0;182000.0;292000.0
62146.0;700.0;4600.0;62000.0;115000.0;179000.0;278000.0
63133.0;700.0;4600.0;67000.0;120000.0;186000.0;323000.0
64119.0;700.0;4600.0;78000.0;134000.0;195000.0;377000.0
65106.0;700.0;4600.0;90000.0;145000.0;221000.0;488000.0
66092.0;700.0;4700.0;105000.0;167000.0;276000.0;473000.0
67079.0;700.0;4800.0;102000.0;148000.0;206000.0;352000.0
68065.0;700.0;5000.0;121000.0;172000.0;225000.0;413000.0
69051.0;700.0;7300.0;159000.0;207000.0;278000.0;527000.0
70038.0;700.0;7900.0;152000.0;197000.0;254000.0;620000.0
71024.0;700.0;10600.0;176000.0;219000.0;308000.0;640000.0
72011.0;700.0;33000.0;207000.0;247000.0;332000.0;565000.0
72997.0;800.0;70000.0;234000.0;291000.0;454000.0;1000000.0
73984.0;800.0;145000.0;380000.0;464000.0;620000.0;1100000.0
74970.0;800.0;266000.0;516000.0;594000.0;760000.0;1200000.0
75957.0;900.0;352000.0;630000.0;710000.0;840000.0;1500000.0
76943.0;2100.0;483000.0;780000.0;850000.0;980000.0;2800000.0
77930.0;1100.0;620000.0;920000.0;990000.0;1300000.0;2800000.0
78916.0;33000.0;740000.0;1200000.0;1400000.0;1800000.0;4800000.0
79902.0;1100.0;820000.0;1400000.0;1600000.0;2200000.0;4700000.0
80889.0;96000.0;2500000.0;7200000.0;1.1E7;2.0E7;2.9E7
81875.0;228000.0;2500000.0;6000000.0;8400000.0;1.3E7;3.7E7
82862.0;127000.0;2800000.0;7900000.0;1.0E7;1.5E7;4.7E7
83848.0;170000.0;3300000.0;1.1E7;1.3E7;1.9E7;6.0E7
