Probes jOPS / Total jOPS
===================================
Domain Marker;critical-jOPS;20604.0
Domain Marker;max-jOPS;79902.0
Domain Marker;Last Success for SLAs;34526.0
Range Marker;Soft Limit;5.0
Range Marker;Hard Limit;3.0
jOPS;Percent of probes jOPS
0;NaN
986;95.43714120516955
1973;96.87725524934258
2959;97.28348201308806
3946;97.59006374974471
4932;98.03523522620041
5919;97.92063939321235
6905;98.17492274859312
7892;98.19088043040051
8878;98.3287832076711
9864;98.28125501290499
10851;98.27973612608976
11837;98.46430943725456
12824;98.49165939306708
13810;91.98341459332822
14797;86.2957400735741
15783;80.53199197100534
16770;75.53776028794307
17756;71.65607381947166
18743;67.83718092087062
19729;64.6220176325623
20715;61.3925076880881
21702;58.50186654300419
22688;56.083803104564446
23675;53.88949439354379
24661;51.478328813076864
25648;49.63374506140425
26634;47.91063461158916
27621;46.10429657939127
28607;44.44869958141939
29593;43.12830627174783
30580;41.648438847420266
31566;40.59136454643287
32553;39.0493133134972
33539;37.90433161423056
34526;36.763434707717515
35512;36.00568166866318
36499;34.674678042687624
37485;34.05782293362338
38472;33.1234965849862
39458;32.23487506846414
40444;31.47026274598088
41431;30.71649988594892
42417;29.77201499371508
43404;29.296305713229167
44390;28.611724091112848
45377;27.9524930755758
46363;27.546887958253908
47350;26.882936319763058
48336;26.17633421935298
49322;25.654485132239284
50309;25.31165511386961
51295;24.80927153019687
52282;24.185047730301132
53268;23.771647879223128
54255;23.471378094290863
55241;22.930376633630583
56228;22.582331231453367
57214;22.085675038630754
58201;21.756368532978044
59187;21.475587167368662
60173;21.060592507014615
61160;20.58708343515887
62146;20.42792744992857
63133;20.103989246290194
64119;19.561285613943543
65106;19.165173898185525
66092;18.844181282944945
67079;18.74719610648964
68065;18.23288197805514
69051;17.76876515438927
70038;17.64806165425849
71024;17.331200747966133
72011;16.61411754520158
72997;15.676369141974133
73984;13.772605204468096
74970;11.506588452572302
75957;8.555687753239294
76943;5.7547206880431325
77930;3.8778810768878835
78916;1.6893578045752926
79902;1.210148315320108
80889;0.07409282795810043
81875;0.049235978796158174
82862;0.04113066239492814
83848;0.027466811442393067
