Delay between performance status pings above threshold
===================================
Domain Marker;Start RT curve;926075.0
Domain Marker;max-jOPS;6750640.0
Range Marker;Limit;5000.0
Range Marker;Hard Limit;60000.0
Time, msec;Group2.Backend.JVM2;Group1.TxInjector.JVM1;Group2.TxInjector.JVM1;Group1.Backend.JVM2
4181.0;1030.441440999999;;;1030.0466049999995
4183.0;;1015.3979240000008;1010.6313530000007;
89568.0;5410.355148000002;;;5410.286613000004
89570.0;;5396.59139500001;5399.0298810000095;
446841.0;8300.902527000057;;;8300.734185000008
446842.0;;8288.364008000004;8289.851201000041;
629623.0;5805.370034000021;;;5806.0255640000105
629624.0;;5670.248127000057;5656.563156999997;
711125.0;5557.172516999999;;;5555.190789000015
711126.0;;5474.539640999981;5440.793984000105;
7048247.0;5834.815538000315;;;5817.727123999968
7048248.0;;5716.497280000709;5762.6720920000225;
7227454.0;9117.22192700021;;;9117.16820400022
7227455.0;;9106.03172700014;9106.254093999974;
7273294.0;1006.7128339996561;;;1006.6962450006977
7273306.0;;7.394137999974191;7.768632000312209;
