Type, StartTime, SurvivorSize, UsedMemYGandOG, ResMemOGandSurvior, len
Young, 6832.713,745605,22979022,1863838,0.1363004
Young, 6835.814,753547,22966430,1872283,0.1395252
Young, 6838.846,771718,22974875,1890830,0.1419683
Young, 6841.939,730746,22993422,1850226,0.1344108
Young, 6845.002,752378,22952818,1872226,0.1374594
Young, 6848.065,723566,22974818,1843790,0.1332147
Young, 6851.136,738387,22946382,1859003,0.1367172
Young, 6854.227,742933,22961595,1863934,0.1367191
Young, 6857.278,804279,22966526,1925663,0.1464885
Young, 6860.325,727629,23028255,1849397,0.1345558
Young, 6863.384,741943,22951989,1864095,0.1351146
Young, 6866.425,794972,22966687,1917524,0.1452134
Young, 6869.503,770143,23020116,1893239,0.1423631
Young, 6872.602,758427,22995831,1881907,0.1398738
Young, 6875.691,739065,22984499,1862922,0.1361969
Young, 6878.774,745832,22965514,1870048,0.1384219
Young, 6881.834,776877,22972640,1901477,0.1441690
Young, 6884.885,744868,23004069,1870004,0.1362514
Young, 6887.950,748613,22972596,1874133,0.1375027
Young, 6891.000,773212,22976725,1899100,0.1412148
Young, 6894.079,806094,23001692,1932358,0.1476296
Young, 6897.145,770306,23034950,1897075,0.1435576
Young, 6900.216,748485,22999667,1875653,0.1384258
Young, 6903.236,851905,22978245,1979433,0.1546769
Young, 6906.319,788657,23082025,1916818,0.1443778
Young, 6909.411,738029,23019410,1866813,0.1383681
Young, 6912.476,774793,22969405,1903953,0.1413642
Young, 6915.535,742240,23006545,1871784,0.1356448
Young, 6918.567,715337,22974376,1845249,0.1336379
Young, 6921.668,753364,22947841,1883652,0.1387626
Young, 6924.791,746327,22986244,1877047,0.1380098
Young, 6927.920,761760,22979639,1892864,0.1398526
Young, 6931.016,759144,22995456,1890617,0.1399052
Young, 6934.085,775302,22993209,1907415,0.1430060
Young, 6937.193,823480,23010007,1955968,0.1489375
Young, 6940.229,779660,23058560,1912516,0.1427038
Young, 6943.254,823348,23015108,1956572,0.1512078
Young, 6946.354,701207,23059114,1834816,0.1302164
Young, 6949.465,719371,22937408,1853347,0.1331675
Young, 6952.539,760406,22955939,1894758,0.1401755
Young, 6955.568,861686,22997350,1996446,0.1537776
Young, 6958.674,715767,23099038,1850887,0.1329651
Young, 6961.708,767117,22953479,1902637,0.1402134
Young, 6964.787,795780,23005229,1931740,0.1455377
Young, 6967.839,727216,23034332,1863544,0.1361746
Young, 6970.903,772756,22966136,1909468,0.1410996
Young, 6973.957,856501,23012060,1993597,0.1551572
Young, 6977.023,828105,23096189,1965585,0.1498377
Young, 6980.101,746595,23068177,1884451,0.1368670
Young, 6983.110,757394,22987043,1895603,0.1386220
Young, 6986.098,748503,22998195,1887096,0.1372560
Young, 6989.178,801781,22989688,1940749,0.1465721
Young, 6992.245,805520,23043341,1944920,0.1462439
Young, 6995.288,806555,23047512,1946340,0.1462835
Young, 6998.347,825752,23048932,1965904,0.1507851
Young, 7001.384,810658,23068496,1951139,0.1484579
Young, 7004.443,782288,23053731,1923176,0.1440527
Young, 7007.505,773616,23025768,1914896,0.1411522
Young, 7010.535,745826,23017488,1887515,0.1352643
Young, 7013.553,759667,22990107,1901739,0.1393895
Young, 7016.578,740030,23004331,1882446,0.1409605
Young, 7019.659,725109,22985038,1867917,0.1334907
Young, 7022.721,708727,22970509,1851895,0.1318819
Young, 7025.797,787230,22954487,1930798,0.1464310
Young, 7028.840,753941,23033390,1897862,0.1370876
Young, 7031.903,803416,23000454,1947737,0.1454884
Young, 7034.911,774713,23050329,1919401,0.1406906
Young, 7037.982,729182,23021993,1874238,0.1347551
Young, 7041.040,735289,22976830,1880897,0.1346543
Young, 7044.072,745806,22983489,1891814,0.1362715
Young, 7047.081,644116,22994406,1790501,0.1210505
Young, 7050.125,659172,22893093,1805957,0.1265127
Young, 7053.061,777148,22908549,1924284,0.1429140
Young, 7056.100,649946,23026876,1797451,0.1271776
Young, 7059.121,666052,22900043,1813933,0.1256409
Young, 7062.017,796807,22916525,1945096,0.1443620
Young, 7065.051,842301,23047688,1990981,0.1522624
Young, 7068.068,805722,23093573,1954818,0.1500407
Young, 7071.027,790464,23057410,1939936,0.1445342
Young, 7074.104,679775,23042528,1829663,0.1279189
Young, 7077.024,772673,22932255,1922929,0.1410369
Young, 7080.123,740551,23025521,1891343,0.1378882
Young, 7083.187,666025,22993935,1817185,0.1263390
Young, 7086.073,805543,22919777,1957071,0.1458136
Young, 7089.079,737041,23059663,1888921,0.1390703
Young, 7092.065,742894,22991513,1895263,0.1361186
Young, 7095.020,770587,22997855,1923395,0.1430209
Young, 7098.000,771057,23025987,1924249,0.1408889
Young, 7101.090,744564,23026841,1898148,0.1369583
Young, 7104.116,718850,23000740,1872786,0.1325155
Young, 7107.186,730741,22975378,1885270,0.1379393
Young, 7110.201,765690,22987862,1920586,0.1407230
Young, 7113.213,776082,23023178,1931362,0.1408754
Young, 7116.221,755585,23033954,1911250,0.1386806
Young, 7119.194,820121,23013842,1976170,0.1486004
Young, 7122.231,746288,23078762,1902713,0.1377307
Young, 7125.263,729110,23005305,1885887,0.1353776
Young, 7128.320,786313,22988479,1943489,0.1439543
Young, 7131.389,788370,23046081,1945898,0.1445466
Young, 7134.467,768384,23048490,1926321,0.1406047
Young, 7137.477,799980,23028913,1958284,0.1454551
Young, 7140.577,775533,23060876,1934221,0.1435605
Young, 7143.656,738920,23036813,1897984,0.1369018
Young, 7146.764,727879,23000576,1887344,0.1353863
Young, 7149.745,760097,22989936,1919937,0.1402718
Young, 7152.808,763897,23022529,1924113,0.1417004
Young, 7155.826,811178,23026705,1971762,0.1480156
Young, 7158.832,866609,23074354,2027577,0.1572286
Young, 7161.903,851371,23130169,2012731,0.1499648
Young, 7164.995,745335,23115323,1907055,0.1377025
Young, 7167.978,726451,23009647,1888572,0.1350997
Young, 7171.004,801362,22991164,1963866,0.1423124
Young, 7173.991,770616,23066458,1933497,0.1420029
Young, 7177.054,719254,23036089,1882510,0.1337017
Young, 7180.121,721739,22985102,1885371,0.1351242
Young, 7183.190,772979,22987963,1937107,0.1418592
