Java HotSpot(TM) 64-Bit Server VM (25.40-b25) for linux-amd64 JRE (1.8.0_40-b26), built on Mar  7 2015 15:08:31 by "java_re" with gcc 4.3.0 20080428 (Red Hat 4.3.0-8)
Memory: 4k page, physical 264398780k(140271084k free), swap 4194296k(4194296k free)
CommandLine flags: -XX:+AggressiveOpts -XX:+AlwaysPreTouch -XX:InitialHeapSize=27917287424 -XX:LargePageSizeInBytes=2097152 -XX:MaxHeapSize=27917287424 -XX:MaxNewSize=24696061952 -XX:MaxTenuringThreshold=15 -XX:NewSize=24696061952 -XX:ParallelGCThreads=36 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:SurvivorRatio=14 -XX:TargetSurvivorRatio=95 -XX:+TraceClassLoading -XX:-UseAdaptiveSizePolicy -XX:-UseBiasedLocking -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseLargePages -XX:+UseParallelOldGC 
10.716: [GC (Allocation Failure) [PSYoungGen: 21102592K->4049K(22609920K)] 21102592K->4136K(25755648K), 0.0050105 secs] [Times: user=0.03 sys=0.01, real=0.00 secs] 
10.725: [GC (Allocation Failure) [PSYoungGen: 21106641K->2784K(22609920K)] 21106728K->2878K(25755648K), 0.0082174 secs] [Times: user=0.22 sys=0.02, real=0.01 secs] 
13.125: [GC (Allocation Failure) [PSYoungGen: 21105376K->673315K(22609920K)] 21105470K->673433K(25755648K), 0.1059674 secs] [Times: user=3.31 sys=0.00, real=0.10 secs] 
14.556: [GC (System.gc()) [PSYoungGen: 2096414K->8167K(22609920K)] 2096533K->8293K(25755648K), 0.0099674 secs] [Times: user=0.10 sys=0.01, real=0.01 secs] 
14.566: [Full GC (System.gc()) [PSYoungGen: 8167K->0K(22609920K)] [ParOldGen: 126K->7558K(3145728K)] 8293K->7558K(25755648K), [Metaspace: 16833K->16833K(1064960K)], 0.0454185 secs] [Times: user=0.73 sys=0.02, real=0.04 secs] 
101.694: [GC (System.gc()) [PSYoungGen: 6402287K->98556K(22609920K)] 6409846K->106123K(25755648K), 0.0357687 secs] [Times: user=0.91 sys=0.00, real=0.04 secs] 
101.730: [Full GC (System.gc()) [PSYoungGen: 98556K->0K(22609920K)] [ParOldGen: 7566K->105024K(3145728K)] 106123K->105024K(25755648K), [Metaspace: 20030K->20026K(1067008K)], 0.1123169 secs] [Times: user=2.83 sys=0.03, real=0.11 secs] 
230.198: [GC (Allocation Failure) [PSYoungGen: 21102592K->883296K(22609920K)] 21207616K->988392K(25755648K), 0.1458966 secs] [Times: user=5.06 sys=0.00, real=0.14 secs] 
