Java HotSpot(TM) 64-Bit Server VM (25.40-b25) for linux-amd64 JRE (1.8.0_40-b26), built on Mar  7 2015 15:08:31 by "java_re" with gcc 4.3.0 20080428 (Red Hat 4.3.0-8)
Memory: 4k page, physical 264398780k(140268788k free), swap 4194296k(4194296k free)
CommandLine flags: -XX:InitialHeapSize=2147483648 -XX:MaxHeapSize=2147483648 -XX:MaxNewSize=1610612736 -XX:NewSize=1610612736 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseParallelGC 
0.279: [GC (Allocation Failure) [PSYoungGen: 1179648K->3986K(1376256K)] 1179648K->3994K(1900544K), 0.0076019 secs] [Times: user=0.09 sys=0.02, real=0.00 secs] 
0.297: [GC (Allocation Failure) [PSYoungGen: 1183634K->2416K(1376256K)] 1183642K->2432K(1900544K), 0.0067534 secs] [Times: user=0.12 sys=0.05, real=0.01 secs] 
1.334: [GC (Allocation Failure) [PSYoungGen: 1182064K->10107K(1376256K)] 1182080K->10131K(1900544K), 0.0108972 secs] [Times: user=0.09 sys=0.00, real=0.01 secs] 
13.914: [GC (System.gc()) [PSYoungGen: 324168K->83824K(1376256K)] 324192K->83864K(1900544K), 0.0717936 secs] [Times: user=0.93 sys=1.45, real=0.07 secs] 
13.986: [Full GC (System.gc()) [PSYoungGen: 83824K->0K(1376256K)] [ParOldGen: 40K->82283K(524288K)] 83864K->82283K(1900544K), [Metaspace: 16716K->16716K(1064960K)], 0.3542254 secs] [Times: user=6.81 sys=0.15, real=0.35 secs] 
100.861: [GC (System.gc()) [PSYoungGen: 344140K->8492K(1376256K)] 426424K->90856K(1900544K), 0.0132057 secs] [Times: user=0.18 sys=0.00, real=0.01 secs] 
100.874: [Full GC (System.gc()) [PSYoungGen: 8492K->0K(1376256K)] [ParOldGen: 82363K->88940K(524288K)] 90856K->88940K(1900544K), [Metaspace: 20161K->20161K(1067008K)], 0.4245195 secs] [Times: user=13.44 sys=0.06, real=0.43 secs] 
213.623: [GC (Allocation Failure) [PSYoungGen: 1179648K->5570K(1376256K)] 1268588K->94519K(1900544K), 0.0080307 secs] [Times: user=0.11 sys=0.00, real=0.01 secs] 
