Rate of Non-Critical Failures
===================================
Domain Marker;max-jOPS;83848.0
Domain Marker;Last Success for SLAs;35512.0
Domain Marker;critical-jOPS;20813.0
jOPS;Non-Critical Failures;Limit
0.0;0.0;0.0
986.0;0.0;4.93
1973.0;0.0;9.865
2959.0;0.0;14.795
3946.0;0.0;19.73
4932.0;0.0;24.66
5919.0;0.0;29.595
6905.0;0.0;34.525
7892.0;0.0;39.46
8878.0;0.0;44.39
9864.0;0.0;49.32
10851.0;0.0;54.255
11837.0;0.0;59.185
12824.0;0.0;64.12
13810.0;0.0;69.05
14797.0;0.0;73.985
15783.0;0.0;78.915
16770.0;0.0;83.85000000000001
17756.0;0.0;88.78
18743.0;0.0;93.715
19729.0;0.0;98.645
20715.0;0.0;103.575
21702.0;0.0;108.51
22688.0;0.0;113.44
23675.0;0.0;118.375
24661.0;0.0;123.305
25648.0;0.0;128.24
26634.0;0.0;133.17000000000002
27621.0;0.0;138.105
28607.0;0.0;143.035
29593.0;0.0;147.965
30580.0;0.0;152.9
31566.0;0.0;157.83
32553.0;0.0;162.76500000000001
33539.0;0.0;167.695
34526.0;0.0;172.63
35512.0;0.0;177.56
36499.0;0.0;182.495
37485.0;0.0;187.425
38472.0;0.0;192.36
39458.0;0.0;197.29
40444.0;0.0;202.22
41431.0;0.0;207.155
42417.0;0.0;212.085
43404.0;0.0;217.02
44390.0;0.0;221.95000000000002
45377.0;0.0;226.885
46363.0;0.0;231.815
47350.0;0.0;236.75
48336.0;0.0;241.68
49322.0;0.0;246.61
50309.0;0.0;251.54500000000002
51295.0;0.0;256.475
52282.0;0.0;261.41
53268.0;0.0;266.34000000000003
54255.0;0.0;271.275
55241.0;0.0;276.205
56228.0;0.0;281.14
57214.0;0.0;286.07
58201.0;0.0;291.005
59187.0;0.0;295.935
60173.0;0.0;300.865
61160.0;0.0;305.8
62146.0;0.0;310.73
63133.0;0.0;315.665
64119.0;0.0;320.595
65106.0;0.0;325.53000000000003
66092.0;0.0;330.46
67079.0;0.0;335.395
68065.0;0.0;340.325
69051.0;0.0;345.255
70038.0;0.0;350.19
71024.0;0.0;355.12
72011.0;0.0;360.055
72997.0;0.0;364.985
73984.0;0.0;369.92
74970.0;0.0;374.85
75957.0;0.0;379.785
76943.0;0.0;384.71500000000003
77930.0;0.0;389.65000000000003
78916.0;0.0;394.58
79902.0;0.0;399.51
80889.0;0.0;404.445
81875.0;0.0;409.375
82862.0;0.0;414.31
83848.0;0.0;419.24
84835.0;0.0;424.175
85821.0;0.0;429.105
86808.0;0.0;434.04
87794.0;0.20270062348736126;438.97
