
===================================
Domain Marker;critical-jOPS;20813.0
Domain Marker;max-jOPS;83848.0
jOPS;min;median;90-th percentile;95-th percentile;99-th percentile;max
0.0;NaN;NaN;NaN;NaN;NaN;NaN
986.0;900.0;1800.0;2100.0;2200.0;3100.0;17600.0
1973.0;700.0;2000.0;2400.0;2600.0;3500.0;171000.0
2959.0;600.0;2200.0;2700.0;2900.0;3600.0;172000.0
3946.0;700.0;2400.0;3100.0;3300.0;3900.0;168000.0
4932.0;700.0;2600.0;3400.0;3700.0;4300.0;187000.0
5919.0;600.0;2800.0;3800.0;4000.0;4800.0;255000.0
6905.0;600.0;3000.0;4100.0;4400.0;5200.0;320000.0
7892.0;600.0;3100.0;4500.0;4800.0;5600.0;192000.0
8878.0;700.0;3300.0;4800.0;5100.0;6000.0;255000.0
9864.0;600.0;3500.0;5200.0;5600.0;6800.0;183000.0
10851.0;600.0;3700.0;5600.0;6000.0;7100.0;135000.0
11837.0;600.0;3900.0;6000.0;6400.0;10700.0;156000.0
12824.0;600.0;4100.0;6200.0;6700.0;13800.0;190000.0
13810.0;600.0;4100.0;6300.0;6800.0;13800.0;141000.0
14797.0;600.0;4100.0;6400.0;7000.0;13000.0;143000.0
15783.0;600.0;4200.0;6400.0;7000.0;21000.0;141000.0
16770.0;600.0;4200.0;6400.0;7100.0;30000.0;144000.0
17756.0;600.0;4200.0;6500.0;7200.0;25000.0;203000.0
18743.0;600.0;4200.0;6600.0;7300.0;43000.0;156000.0
19729.0;600.0;4200.0;6600.0;7400.0;35000.0;154000.0
20715.0;600.0;4200.0;6700.0;7600.0;53000.0;151000.0
21702.0;600.0;4200.0;6700.0;7600.0;48000.0;146000.0
22688.0;600.0;4300.0;6800.0;7800.0;63000.0;155000.0
23675.0;600.0;4300.0;6900.0;8000.0;59000.0;161000.0
24661.0;600.0;4200.0;6900.0;8100.0;62000.0;157000.0
25648.0;600.0;4300.0;7000.0;8300.0;75000.0;151000.0
26634.0;600.0;4300.0;7100.0;8400.0;72000.0;162000.0
27621.0;600.0;4200.0;7200.0;8600.0;77000.0;184000.0
28607.0;600.0;4300.0;7300.0;8700.0;85000.0;239000.0
29593.0;600.0;4200.0;7500.0;9000.0;108000.0;280000.0
30580.0;600.0;4300.0;7500.0;9000.0;86000.0;159000.0
31566.0;600.0;4200.0;7500.0;9200.0;85000.0;169000.0
32553.0;700.0;4200.0;7800.0;9600.0;94000.0;177000.0
33539.0;600.0;4200.0;7800.0;9700.0;98000.0;176000.0
34526.0;700.0;4100.0;7800.0;9800.0;96000.0;176000.0
35512.0;600.0;4200.0;8300.0;10300.0;100000.0;179000.0
36499.0;600.0;4200.0;8300.0;10600.0;108000.0;182000.0
37485.0;600.0;4200.0;8300.0;10800.0;111000.0;194000.0
38472.0;600.0;4200.0;8400.0;10900.0;122000.0;291000.0
39458.0;600.0;4200.0;8700.0;11600.0;124000.0;306000.0
40444.0;600.0;4100.0;8800.0;12100.0;116000.0;190000.0
41431.0;700.0;4200.0;9000.0;14700.0;119000.0;193000.0
42417.0;600.0;4200.0;9300.0;17000.0;125000.0;193000.0
43404.0;600.0;4100.0;9200.0;15300.0;125000.0;203000.0
44390.0;600.0;4100.0;9400.0;21000.0;128000.0;204000.0
45377.0;600.0;4100.0;9200.0;16400.0;128000.0;205000.0
46363.0;700.0;4100.0;9700.0;32000.0;133000.0;221000.0
47350.0;700.0;4100.0;9900.0;36000.0;132000.0;217000.0
48336.0;600.0;4100.0;9900.0;39000.0;137000.0;212000.0
49322.0;700.0;4100.0;10600.0;51000.0;143000.0;249000.0
50309.0;700.0;4200.0;10900.0;47000.0;141000.0;238000.0
51295.0;700.0;4100.0;10900.0;55000.0;141000.0;228000.0
52282.0;700.0;4100.0;11400.0;58000.0;141000.0;234000.0
53268.0;700.0;4100.0;12400.0;69000.0;154000.0;272000.0
54255.0;700.0;4100.0;12400.0;70000.0;151000.0;257000.0
