Probes jOPS / Total jOPS
===================================
Domain Marker;critical-jOPS;20813.0
Domain Marker;max-jOPS;83848.0
Domain Marker;Last Success for SLAs;35512.0
Range Marker;Soft Limit;5.0
Range Marker;Hard Limit;3.0
jOPS;Percent of probes jOPS
0;NaN
986;95.36679483907942
1973;97.05900278289813
2959;97.22768890844976
3946;97.50978718663093
4932;97.71309491344795
5919;98.04440068401566
6905;98.05136768004952
7892;98.17769129423468
8878;98.29024980432098
9864;98.41767277059742
10851;98.49451108353023
11837;98.50823380459188
12824;98.33831497788228
13810;91.93723183140614
14797;86.32358508005784
15783;80.56227828212205
16770;75.67557627254533
17756;71.5842364966664
18743;67.71339007654683
19729;64.55392739341349
20715;61.46378029302905
21702;58.53346105698342
22688;56.09571193314665
23675;53.819405358381424
24661;51.50952476768672
25648;49.68007170955975
26634;47.90346240998854
27621;46.10994969574688
28607;44.49825644545215
29593;43.23323085645369
30580;41.63599263043233
31566;40.47185567774903
32553;39.00564105998748
33539;37.89597109676939
34526;36.85230753818797
35512;35.98946703454263
36499;34.63384901804763
37485;34.04360308025866
38472;33.08493837664175
39458;32.10609817238041
40444;31.444405322045736
41431;30.738062618711552
42417;29.862429079278463
43404;29.453057267948562
44390;28.691589274985365
45377;27.892532247031472
46363;27.55309690714998
47350;26.987727258874923
48336;26.220472501776154
49322;25.73637419217655
50309;25.22803404952821
51295;24.796867639091634
52282;24.2382831348022
53268;23.771293587859837
54255;23.405274345472378
55241;22.974105807567707
56228;22.017147855601735
57214;22.019085254153595
58201;21.735081064965815
59187;21.495264319542244
60173;20.86973367519652
61160;20.743619667682065
62146;20.242688662579944
63133;20.106325944446382
64119;19.437583026202923
65106;19.012742882629095
66092;18.89250028787879
67079;18.548679735919418
68065;18.07356725831973
69051;17.832183869028142
70038;17.24782182056892
71024;17.29594317540852
72011;16.70099886481039
72997;12.89570377207472
73984;15.182761967305499
74970;14.720932002699403
75957;13.509682178064345
76943;12.66925148009769
77930;9.953864366294347
78916;7.783796426229167
79902;4.355654391864217
80889;2.9721001521234878
81875;1.2698793264437516
82862;0.11412975508575239
83848;0.11266449430755979
84835;0.019717651295781825
85821;0.01593490348994256
86808;0.014605083693105614
87794;0.013320182014992793
