Delay between performance status pings above threshold
===================================
Domain Marker;Start RT curve;953161.0
Domain Marker;max-jOPS;7128100.0
Range Marker;Limit;5000.0
Range Marker;Hard Limit;60000.0
Time, msec;Group2.Backend.JVM2;Group1.TxInjector.JVM1;Group2.TxInjector.JVM1;Group1.Backend.JVM2
4259.0;1028.2489179999975;;;1028.227859999999
4262.0;;1014.6425139999992;1014.6835780000001;
90846.0;5649.096898000003;;;5649.010567000005
90847.0;;5636.060873000009;5635.507043999998;
323783.0;5214.289509000024;;;5214.278047999949
323786.0;;5114.380386999983;5136.8999000000185;
429048.0;8711.505027999985;;;8711.433348999999
429049.0;;8699.437711000035;8699.386518999992;
657989.0;5764.4098740000045;;;5764.346108000027
657990.0;;5648.661250000005;5669.683305000071;
738035.0;5355.025735000032;5267.749068000005;5309.11174600001;5457.849011000013
7416168.0;6995.639539999887;;;7045.855617000721
7416169.0;;6906.251943999901;6894.922158000059;
7598964.0;9101.869626999833;9090.39690000005;9090.236543000676;9101.778029000387
7644882.0;1006.6936960006133;;;1006.625066999346
7644896.0;;9.456538000144064;9.243266999721527;
