Delay between performance status pings above threshold
===================================
Domain Marker;Start RT curve;624303.0
Domain Marker;max-jOPS;6086510.0
Range Marker;Limit;5000.0
Range Marker;Hard Limit;60000.0
Time, msec;Group2.Backend.JVM2;Group1.TxInjector.JVM1;Group2.TxInjector.JVM1;Group1.Backend.JVM2
5049.0;1017.4418960000003;;;1017.4332519999989
5051.0;;1009.1905409999999;1008.3774219999978;
92011.0;6323.668592999995;;;6323.016671000005
92012.0;;6314.283282000004;6315.370079;
331620.0;6414.840976999956;6376.039243999985;6359.544112999982;6478.545188000018
412701.0;6715.857518000004;;;6727.393715999962
412702.0;;6628.84088600002;6633.843453000009;
6109360.0;10014.90354100056;;;
6110368.0;;10010.934470999986;10008.174111999571;10009.258884999901
6162002.0;;;;11808.436766000465
6163016.0;10565.990481000394;;;
6163020.0;;10564.04561300017;10577.060058000498;
6269849.0;5271.679212000221;;;
6331994.0;12773.171563000418;;;
6333003.0;;12772.536169999279;12767.929568000138;
6334379.0;;;;14150.737242999487
6342623.0;;;;6224.503751999699
6350563.0;6933.97549800016;;;
6351095.0;;6426.249956000596;6432.232478999533;
6352890.0;;;;8238.732513000257
6360776.0;6865.782734000124;;;
6361783.0;;6864.992991999723;6854.963269999251;
6363722.0;;;;8806.29409399908
6425854.0;;;;5028.414456000552
6426875.0;5044.304390000179;;;
6426876.0;;5024.2129619996995;5041.851596999913;
6442194.0;;;;5190.568806999363
6443205.0;5201.4839399997145;;;
6443210.0;;5194.567243999802;5200.4819999998435;
6456672.0;11422.442793999799;;;8980.410930999555
6456673.0;;8950.002137000673;8958.979791000485;
6637422.0;10427.95544699952;;;10428.19038899988
6637423.0;;10418.576932999305;10418.531322999857;
6644722.0;5295.52382200025;5293.064197000116;5293.0701869996265;5295.486725999974
6684048.0;1005.1971810003743;;;1004.9267809996381
6684058.0;;6.362448999658227;6.900736999697983;
