Java HotSpot(TM) 64-Bit Server VM (25.60-b12) for linux-amd64 JRE (1.8.0_60-ea-b12), built on Apr 21 2015 19:53:00 by "java_re" with gcc 4.3.0 20080428 (Red Hat 4.3.0-8)
Memory: 4k page, physical 395463368k(390017968k free), swap 16318460k(16318460k free)
CommandLine flags: -XX:+AggressiveOpts -XX:+AlwaysPreTouch -XX:InitialHeapSize=31138512896 -XX:LargePageSizeInBytes=2097152 -XX:MaxHeapSize=31138512896 -XX:MaxNewSize=27917287424 -XX:MaxTenuringThreshold=15 -XX:NewSize=27917287424 -XX:ParallelGCThreads=56 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+PrintTenuringDistribution -XX:SurvivorRatio=28 -XX:TargetSurvivorRatio=95 -XX:-UseAdaptiveSizePolicy -XX:-UseBiasedLocking -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseLargePages -XX:+UseParallelOldGC 
9.308: [GC (Allocation Failure) [PSYoungGen: 25448448K->12929K(26355712K)] 25448448K->13031K(29501440K), 0.0174648 secs] [Times: user=0.45 sys=0.00, real=0.02 secs] 
12.694: [GC (System.gc()) [PSYoungGen: 24325300K->8935K(26355712K)] 24325403K->9046K(29501440K), 0.0170646 secs] [Times: user=0.50 sys=0.01, real=0.01 secs] 
12.711: [Full GC (System.gc()) [PSYoungGen: 8935K->0K(26355712K)] [ParOldGen: 110K->8163K(3145728K)] 9046K->8163K(29501440K), [Metaspace: 16774K->16774K(1064960K)], 0.0416370 secs] [Times: user=0.57 sys=0.06, real=0.05 secs] 
24.490: [GC (Allocation Failure) [PSYoungGen: 25448448K->852924K(26355712K)] 25456611K->861103K(29501440K), 0.0802051 secs] [Times: user=3.53 sys=0.00, real=0.08 secs] 
36.319: [GC (Allocation Failure) [PSYoungGen: 26301372K->853109K(26355712K)] 26309551K->861297K(29501440K), 0.0684259 secs] [Times: user=2.97 sys=0.00, real=0.07 secs] 
99.988: [GC (System.gc()) [PSYoungGen: 23668028K->99410K(26355712K)] 23676216K->107606K(29501440K), 0.0202064 secs] [Times: user=0.75 sys=0.00, real=0.02 secs] 
100.008: [Full GC (System.gc()) [PSYoungGen: 99410K->0K(26355712K)] [ParOldGen: 8195K->105623K(3145728K)] 107606K->105623K(29501440K), [Metaspace: 20044K->20022K(1067008K)], 0.0885444 secs] [Times: user=2.12 sys=0.05, real=0.09 secs] 
218.895: [GC (Allocation Failure) [PSYoungGen: 25448448K->898247K(26355712K)] 25554071K->1003879K(29501440K), 0.0837874 secs] [Times: user=4.26 sys=0.00, real=0.08 secs] 
