
===================================
Domain Marker;critical-jOPS;21754.0
Domain Marker;max-jOPS;102951.0
jOPS;min;median;90-th percentile;95-th percentile;99-th percentile;max
0.0;NaN;NaN;NaN;NaN;NaN;NaN
1183.0;700.0;1700.0;2200.0;2500.0;4400.0;26000.0
2367.0;700.0;1700.0;2300.0;2600.0;3900.0;105000.0
3550.0;600.0;1900.0;2500.0;2800.0;3500.0;26000.0
4733.0;700.0;2100.0;2700.0;3000.0;3700.0;112000.0
5917.0;700.0;2200.0;2900.0;3200.0;3800.0;100000.0
7100.0;700.0;2500.0;3200.0;3500.0;4100.0;109000.0
8283.0;700.0;2700.0;3500.0;3800.0;4500.0;146000.0
9467.0;700.0;2900.0;3800.0;4100.0;4800.0;133000.0
10650.0;700.0;3100.0;4100.0;4400.0;5300.0;126000.0
11833.0;700.0;3300.0;4400.0;4600.0;5500.0;134000.0
13017.0;700.0;3500.0;4600.0;4900.0;6000.0;128000.0
14200.0;700.0;3600.0;4900.0;5200.0;10600.0;143000.0
15383.0;700.0;3800.0;5200.0;5500.0;7500.0;122000.0
16567.0;700.0;4000.0;5400.0;5800.0;16100.0;136000.0
17750.0;700.0;4100.0;5700.0;6000.0;14500.0;131000.0
18933.0;700.0;4400.0;6100.0;6400.0;32000.0;143000.0
20117.0;700.0;4400.0;6100.0;6500.0;27000.0;131000.0
21300.0;700.0;4500.0;6300.0;6700.0;30000.0;136000.0
22483.0;700.0;4500.0;6300.0;6800.0;39000.0;139000.0
23667.0;700.0;4500.0;6500.0;7100.0;38000.0;134000.0
24850.0;700.0;4500.0;6600.0;7300.0;53000.0;182000.0
26033.0;700.0;4500.0;6600.0;7600.0;63000.0;197000.0
27217.0;700.0;4600.0;7000.0;8400.0;77000.0;195000.0
28400.0;700.0;4700.0;7400.0;9400.0;102000.0;381000.0
29583.0;700.0;4700.0;7800.0;11300.0;110000.0;294000.0
30767.0;700.0;4700.0;8000.0;24000.0;118000.0;362000.0
31950.0;700.0;4900.0;9200.0;41000.0;129000.0;305000.0
33134.0;700.0;4800.0;9800.0;53000.0;154000.0;324000.0
34317.0;700.0;5000.0;33000.0;92000.0;274000.0;740000.0
35500.0;700.0;5200.0;53000.0;104000.0;249000.0;880000.0
36684.0;700.0;5300.0;68000.0;121000.0;249000.0;597000.0
37867.0;700.0;5500.0;68000.0;110000.0;190000.0;548000.0
39050.0;700.0;6000.0;103000.0;154000.0;250000.0;488000.0
40234.0;700.0;5900.0;90000.0;135000.0;247000.0;910000.0
41417.0;700.0;6500.0;101000.0;144000.0;316000.0;700000.0
42600.0;700.0;10100.0;149000.0;233000.0;597000.0;1200000.0
43784.0;700.0;10500.0;121000.0;169000.0;259000.0;551000.0
44967.0;700.0;29000.0;151000.0;194000.0;300000.0;630000.0
46150.0;700.0;14000.0;115000.0;152000.0;236000.0;690000.0
47334.0;700.0;40000.0;187000.0;271000.0;567000.0;1200000.0
48517.0;700.0;38000.0;162000.0;210000.0;324000.0;710000.0
49700.0;600.0;39000.0;144000.0;184000.0;365000.0;810000.0
50884.0;600.0;51000.0;182000.0;241000.0;389000.0;1100000.0
52067.0;700.0;47000.0;177000.0;255000.0;460000.0;1000000.0
53250.0;700.0;59000.0;192000.0;244000.0;394000.0;780000.0
54434.0;700.0;65000.0;184000.0;224000.0;338000.0;640000.0
55617.0;700.0;69000.0;211000.0;290000.0;487000.0;950000.0
56800.0;700.0;67000.0;202000.0;254000.0;432000.0;1100000.0
57984.0;700.0;85000.0;229000.0;337000.0;600000.0;1200000.0
59167.0;700.0;91000.0;219000.0;282000.0;573000.0;1200000.0
60350.0;700.0;88000.0;230000.0;282000.0;468000.0;850000.0
61534.0;700.0;108000.0;312000.0;421000.0;720000.0;1800000.0
62717.0;700.0;109000.0;268000.0;324000.0;477000.0;1100000.0
63900.0;700.0;125000.0;299000.0;354000.0;564000.0;910000.0
65084.0;700.0;113000.0;273000.0;338000.0;537000.0;1000000.0
66267.0;700.0;137000.0;330000.0;412000.0;680000.0;1200000.0
67450.0;700.0;138000.0;344000.0;445000.0;650000.0;1300000.0
68634.0;800.0;134000.0;325000.0;403000.0;569179.9999999348;1100000.0
69817.0;700.0;161000.0;319000.0;394000.0;504000.0;830000.0
71000.0;700.0;157000.0;361000.0;466000.0;820000.0;1600000.0
72184.0;700.0;184000.0;351000.0;415000.0;630000.0;920000.0
73367.0;800.0;224000.0;409000.0;513000.0;830000.0;1600000.0
74550.0;900.0;202000.0;384000.0;453000.0;587000.0;910000.0
75734.0;800.0;222000.0;400000.0;459000.0;620000.0;1400000.0
76917.0;900.0;233000.0;427000.0;497000.0;650000.0;1100000.0
78100.0;1100.0;226000.0;405000.0;468000.0;558000.0;890000.0
79284.0;1200.0;255000.0;441000.0;527000.0;700000.0;1300000.0
80467.0;800.0;242000.0;468000.0;620000.0;920000.0;1800000.0
81650.0;800.0;235000.0;435000.0;512000.0;800000.0;1700000.0
82834.0;1000.0;258000.0;462000.0;530000.0;700000.0;1500000.0
84017.0;5100.0;258000.0;459000.0;520000.0;620000.0;1200000.0
85200.0;1400.0;251000.0;452000.0;510000.0;640000.0;1300000.0
86384.0;1600.0;279000.0;517000.0;598000.0;770000.0;1400000.0
87567.0;7200.0;302000.0;503000.0;568000.0;680000.0;1400000.0
88750.0;1200.0;295000.0;507000.0;566000.0;710000.0;1600000.0
89934.0;2100.0;322000.0;552000.0;620000.0;770000.0;1500000.0
91117.0;1800.0;331000.0;579000.0;690000.0;920000.0;2400000.0
92301.0;9300.0;370000.0;650000.0;740000.0;930000.0;1700000.0
93484.0;1500.0;381000.0;595000.0;660000.0;860000.0;1800000.0
94667.0;6500.0;395000.0;700000.0;800000.0;1100000.0;2300000.0
95851.0;2200.0;412000.0;670000.0;750000.0;910000.0;1800000.0
97034.0;1600.0;361000.0;640000.0;720000.0;950000.0;2400000.0
98217.0;14000.0;381000.0;630000.0;710000.0;930000.0;1400000.0
99401.0;6900.0;418000.0;660000.0;730000.0;900000.0;1800000.0
100584.0;16100.0;378000.0;630000.0;710000.0;860000.0;2000000.0
101767.0;4600.0;447000.0;730000.0;830000.0;1100000.0;2400000.0
102951.0;13700.0;433000.0;740000.0;820000.0;1100000.0;2100000.0
104134.0;275000.0;1.2E7;4.6E7;5.6E7;6.0E7;6.0E7
105317.0;291000.0;2600000.0;2.2E7;2.3E7;2.5E7;6.0E7
106501.0;5600000.0;4.7E7;4.7E7;4.7E7;4.7E7;6.0E7
107684.0;6.0E7;6.0E7;6.0E7;6.0E7;6.0E7;6.0E7
