Probes jOPS / Total jOPS
===================================
Domain Marker;critical-jOPS;21754.0
Domain Marker;max-jOPS;102951.0
Domain Marker;Last Success for SLAs;27217.0
Range Marker;Soft Limit;5.0
Range Marker;Hard Limit;3.0
jOPS;Percent of probes jOPS
0;NaN
1183;95.79187952934139
2367;96.96273348224602
3550;97.578996029832
4733;97.77159726929206
5917;98.13965784892783
7100;98.41506492155865
8283;98.32317196093564
9467;98.39196481961103
10650;98.45754347755754
11833;98.58907785751875
13017;98.61628715863539
14200;98.53510060312044
15383;98.63024829952943
16567;98.61114051604383
17750;98.68438401867097
18933;98.67292778550694
20117;94.61383015660836
21300;89.50079961772829
22483;84.95949152616832
23667;80.9485826975885
24850;76.78766771108282
26033;73.2419282357579
27217;70.1162000363365
28400;67.05653256617789
29583;64.72895561567825
30767;62.13072724167091
31950;59.79114192881525
33134;57.39592055119922
34317;54.885473709416566
35500;53.19202442632256
36684;50.88359328825773
37867;49.503034318578635
39050;48.038021992582365
40234;46.57278566943922
41417;44.81505310882101
42600;42.42695614454945
43784;42.1117558885076
44967;40.01776619213161
46150;40.12703073324265
47334;37.27408910994397
48517;36.719661518053336
49700;36.53605680163275
50884;34.75829724032283
52067;33.95630863209581
53250;32.59774098965949
54434;31.827928548621927
55617;30.74804825741161
56800;29.952496437996537
57984;28.971240164685607
59167;28.841583135340755
60350;27.704387607141843
61534;25.61237388385675
62717;25.633538865741823
63900;24.9519945271727
65084;24.66827001880815
66267;23.153050153901045
67450;22.191219719636585
68634;21.765569433916973
69817;21.458840647626733
71000;20.094030181532624
72184;19.50613386377682
73367;18.36329462952198
74550;18.066649093493673
75734;16.804093724347634
76917;16.404760947483794
78100;16.84500954465855
79284;15.789073611633116
80467;14.645066860956561
81650;14.669103627080148
82834;13.947191784122158
84017;13.862809806077225
85200;13.822610742708626
86384;12.097304278506478
87567;12.437439105504833
88750;11.6867508677409
89934;10.967377529908413
91117;10.026440775331443
92301;9.611534495165465
93484;9.532520345217911
94667;8.570787979060373
95851;8.366992447299065
97034;8.444574826386184
98217;8.594032015883844
99401;8.584686108619406
100584;8.020157367603476
101767;6.9442171295740955
102951;7.071163942486181
104134;0.001744007823142004
105317;0.0015119690387076095
106501;7.12242478630142E-4
107684;2.889472049386354E-4
