Type, StartTime, SurvivorSize, UsedMemYGandOG, ResMemOGandSurvior, len
Young, 5679.581,907262,28435899,3216386,0.1416965
Young, 5683.238,788852,28664834,3098560,0.1071317
Young, 5686.875,799826,28547008,3110014,0.1146070
Young, 5690.586,907241,28558462,3231765,0.1200019
Young, 5694.628,907249,28680213,3468949,0.1607930
Young, 5697.925,735342,28917397,3297722,0.1035099
Young, 5701.876,907242,28746170,3806646,0.1770619
Young, 5705.077,865037,29255094,3765017,0.1192991
Young, 5708.750,845655,29213465,3746187,0.1176847
Young, 5712.456,907234,29194635,3921254,0.1513613
Young, 5716.593,756156,27129229,2436937,0.1076020
Young, 5720.290,907250,27885385,2686176,0.1362727
Young, 5723.951,774010,28134624,2552935,0.1055525
Young, 5727.492,907243,28001383,2723880,0.1252724
Young, 5731.030,907245,28172328,2726722,0.1149658
Young, 5734.596,895751,28175170,2715228,0.1160647
Young, 5738.232,858339,28163676,2677816,0.1118301
Young, 5741.806,824131,28126264,2643609,0.1103893
Young, 5745.515,850896,28092057,2670373,0.1115866
Young, 5749.072,860629,28118821,2680106,0.1145738
Young, 5752.660,813876,28128554,2633353,0.1113107
Young, 5756.201,884176,28081801,2703653,0.1187714
Young, 5760.001,790512,28152101,2609989,0.1079657
Young, 5763.633,907232,28058437,2770549,0.1279977
Young, 5767.204,907259,28218997,2803233,0.1265346
Young, 5771.050,852556,28251681,2795607,0.1196059
Young, 5774.395,907240,28244055,2904196,0.1267534
Young, 5778.053,755489,28352644,2753669,0.1049430
Young, 5781.497,907246,28202117,2947353,0.1222640
Young, 5785.151,907236,28395801,2994079,0.1235911
Young, 5788.618,815187,28442527,2902590,0.1082203
Young, 5792.270,907263,28351038,3111274,0.1406617
Young, 5795.892,794516,28559722,2999135,0.1075985
Young, 5799.776,907256,28447583,3377011,0.1658811
Young, 5803.297,907233,28825459,3443628,0.1284863
Young, 5806.908,744976,28892076,3281899,0.1019413
Young, 5810.551,828758,28730347,3366265,0.1145068
Young, 5813.976,772311,28814713,3310458,0.1075142
Young, 5817.539,903072,28758906,3441963,0.1176603
Young, 5821.238,907241,28890411,3475028,0.1229396
Young, 5824.706,838460,28923476,3406847,0.1135544
Young, 5829.065,907239,28855295,3855801,0.1845184
Young, 5833.758,907263,27410388,3332503,0.2283711
Young, 5836.719,907239,28780951,3821587,0.2264465
Young, 5841.340,907238,27309199,2817278,0.1458555
Young, 5844.364,907260,28265726,3199972,0.1935315
Young, 5847.100,907256,28648420,3614752,0.2040828
Young, 5852.535,907261,27356355,3025544,0.1759395
Young, 5855.403,907246,28473992,3168513,0.1552654
Young, 5858.510,907245,28616961,3345880,0.1459853
Young, 5861.204,907242,28794328,3632229,0.1767541
Young, 5865.641,907262,27250298,2987009,0.1794113
Young, 5868.524,907252,28435457,3435761,0.2087106
Young, 5871.766,907256,28884209,3616365,0.1500431
Young, 5875.489,907239,26960834,2419729,0.1209501
Young, 5878.921,818145,27868177,2330635,0.1161306
Young, 5882.878,907245,27779083,2769044,0.1879307
Young, 5886.117,907239,28217492,2815013,0.1278203
Young, 5889.645,907254,28263461,2884453,0.1283768
Young, 5893.116,907237,28332901,3005387,0.1477065
Young, 5896.609,907233,28453835,3099424,0.1375178
Young, 5900.081,907250,28547872,3210833,0.1391173
Young, 5903.556,907248,28659281,3281679,0.1295803
Young, 5907.996,907260,28730127,3732757,0.1979247
Young, 5912.413,907241,27403010,3274223,0.2081477
Young, 5915.323,907249,28722671,3962385,0.2491943
Young, 5919.529,907236,27515206,3288122,0.2038777
Young, 5922.313,907236,28736570,3542170,0.1633261
Young, 5926.417,907262,27307906,2811161,0.1418007
Young, 5929.128,907242,28259609,3109765,0.1762953
Young, 5932.189,907246,28558213,3142161,0.1262770
Young, 5945.245,907236,28590609,3476895,0.1765661
Young, 5949.347,907252,27267124,3067993,0.1891410
Young, 5952.146,907243,28516441,3251280,0.1621809
Young, 5956.594,907256,28699728,3541893,0.1808396
Young, 5960.650,907236,27282989,2917546,0.1672991
Young, 5966.035,907261,28365994,3060107,0.1483625
Young, 5971.504,907255,28508555,3454765,0.1937573
Young, 5976.151,907263,28903213,3977932,0.2145089
Young, 5980.328,907263,27655583,3342094,0.2048264
Young, 5983.157,907242,28790542,3570473,0.1611018
Young, 5988.525,907258,27316806,3224873,0.2176922
Young, 5991.343,907237,28673321,3625164,0.1974281
Young, 5995.577,907246,27376534,3152157,0.1869148
Young, 5998.439,907253,28600605,3620220,0.2123134
Young, 6002.867,907238,27512565,3375484,0.2100009
Young, 6007.070,907259,28823932,3594465,0.1547137
Young, 6010.930,907260,27224345,2878941,0.1590702
Young, 6015.693,907252,28327389,3266190,0.1889875
Young, 6020.695,907254,28714638,3297344,0.1369418
Young, 6025.511,907262,28745792,3381999,0.1434952
Young, 6030.230,907238,28830447,3752544,0.2123026
Young, 6033.965,907236,27404244,2974929,0.1692174
Young, 6038.652,907252,28423377,3636985,0.2502860
Young, 6049.592,907236,27368322,2976606,0.1558586
Young, 6054.890,907262,28425054,3190848,0.1660480
Young, 6059.698,907260,28639296,3442430,0.1832715
Young, 6066.315,907259,27361594,2989662,0.1579702
Young, 6073.674,907235,28438110,3379558,0.1920492
Young, 6079.859,907251,28828006,3808038,0.2405060
Young, 6088.954,907257,27407486,3178792,0.1863856
Young, 6097.062,907250,28627240,3475385,0.1784830
Young, 6109.155,907235,27577561,3421941,0.1869522
Young, 6118.518,907245,28870389,3856919,0.2355348
